抛弃,abandon
存在,existence
存在,exister
外来的,exotique
异国情调,exotisme
扩张,expansion
发运,expédition
经验,expérience
实验,expérimenter
行家,expert
抵偿,expier
到期,expirer
说明,expliquer
功绩,exploit
开发者,exploitant
开发,exploitation
勘探者,explorateur
爆炸,exploser
爆炸,explosion
出口商,exportateur
出口,exporter
口述,exposé
陈列,exposition
故意地,exprès
快车,express
表达,expression
表达,exprimer
exprimer表达自己的思想
extasier着迷
使人极度衰弱的,exténuant
外,extérieur
灭亡,extinction
强夺,extorquer
优等的,extra
摘录,extraire
摘要,extrait
特别的,extraordinaire
怪诞的,extravagant
寓言,fable
工场,fabrique
制造,fabriquer
虚构,fabuler
sur,exercer,une,influence
神奇的,fabuleux
正面,façade
脸,face
面对面,face,à,face
de在……对面,face
面,facette
生气的,fâché
生气,fâcher,pr
容易的,facile
轻而易举地,facilement
方式,façon
无论如何,façon
加工制造,façonner,t
复制品,fac-similé
邮递员,facteur
矫揉造作的,factice
发票,facture
随意的,facultatif
学院,faculté
无味的,fade
软弱的,faible
弱者,faible
陶器,faïence
几乎,faillir
饥饿,faim
做,faire
最好做……,faire
faire担心
à习惯于,faire
搞工程,faire,de,l'ouvrage
缺乏,faire,défaut
装腔作势,faire,des,manières
逛马路看橱窗,faire,du,lèche-vitrine
故意做
证明,faire,foi
让某人照顾某人,faire,garder
警戒,faire,le,guet
收拾房间,faire,le,ménage
言归于好,faire,le,paix
加满,faire,le,plein,de
为……服务,faire,le,service,à
逛商店,faire,les,magasins
通知,faire,part
浪费时间,faire,plus,long,conte
把……赠送给某人
显示,faire,preuve,de
带着一些诱惑地看,faire,quelque,figure
in-finitif,faire,exprès,de,+
qqn,faire,présent,de,qqch,à
做一笔买卖,faire,une,affaire
吹牛皮者,faiseur
事实,fait
fait顺便问一句
顶端,faîte
社会新闻,faits,divers
悬崖,falaise
应该,falloir
篡改,falsifier
挨饿的,famélique
著名的,fameux
家庭的,familial
avec熟悉,familiariser
家庭的,familier,,ère
家庭,famille
饥饿,famine
崇拜者,fan
faner枯萎
铜管乐,fanfare
幻想,fantaisie
荒诞的,fantaisiste
幻觉,fantasme
神奇的,fantastique
鬼魂,fantôme
玩笑,farce
爱开玩笑的人,farceur
塞肉的,farci
面粉,farine
胆小的,farouche
迷人的,fascinant
使着迷,fasciner
快餐,fast,food
钟爱的,fastueux
累人的,fatigant
疲劳的,fatigué
疲劳,fatiguer
身无分文的人,fauché
隼,faucon
粗缝,faufiler
动物志,faune
作假者,faussaire
错误,fausseté
错误,faute
缺乏,faute,de
扶手椅,fauteuil
浅黄褐色的,fauve
错误的,faux
牛排,faux-filet
有利的,favorable
特别受喜爱的,favori
有利的,favorisé
优待,favoriser
发热的,fébrile
仙女,fée
懒惰的人,feignant
装作,feindre
表面的,feint
使产生裂缝,fêler
de感到高兴,féliciter
祝贺,féliritation
,félon
雌性动物,femelle
阴性的,féminin
女权主义者,féministe
女人,femme
清洁女工,femme,de,ménage
女部长,femme,ministre
使裂开,fendre
裂开,fendre
窗子,fenêtre
菌香,fenouil
铁,fer
放假的,férié
农场,ferme
坚定的,ferme
fermer关闭
关闭,fermeture
农场主,fermier,,ère
凶猛的,féroce
铁匠,ferronier,,ère
肥沃的,fertile
献身,ferveur
屁股,fesse
打屁股,fesser
联欢节,festival
节日,fête
庆祝,fêter
火,feu
红灯,feu,rouge
叶子,feuillage
树叶,feuille
浏览,feuilleter
焰火,feux,d'artifice
二月,février
可靠的,fiable
订婚,fiançailles,pl
订婚的,fiancé
未婚妻,fiancée
订婚,fiancer
卡片,fiche
体貌特征卡,fiche,signalétique
坏的,fichu
杜撰的,fictif
忠贞的,fidèle
忠诚,fidélité
自豪的,fier,ère
发烧,fièvre
发烧的,fiévreux
Figaro费加罗报
外形,figure
线,fil
直行,file
跟随,filer
网兜,filet
食品袋,filet,à,provision
姑娘,fille
电影,film
财运,filon
儿子,fils
过滤,filtrer
结局,fin
总之,finalement
出钱,financer
财政,finances
金融的,financier,,,ère
手段,finesse
结束,finir
苍天,firmament
税收的,fiscal
裂缝,fissure
固定的,fixe
固定,fixer
闻,flairer
佛拉芒的,flamand
燃烧,flamber
闪耀,flamboyer
火焰,flamme
侧面,flanc
动摇,flancher
闲逛,flâner
吹捧,flatter
奉承的,flatteur
箭,flèche
使弯曲,fléchir
憔悴的,flétri
花,fleur
正在开花的,fleuri
开花,fleurir
最珍贵的事物,fleuron
河,fleuve
警察,flic
植物志,flore
波浪,flot
波涛,flots,pl
漂浮,flotter
浮物,flotteur
fluorescent荧光的
长笛,flûte
大量,flux
信义,foi
肝,foie
干草,foin
展览会,foire
次,fois,f
疯狂,folie
干劲足的,fonceur
作用,fonction
公务员,fonctionnaire
运转,fonctionner
底部,fond
在…的尽头,fond,deprê
基础,fondement
创办,fonder
融化,fondre
资金,fonds
干酪火锅,fondue
铸造,fonte
外来的,forain?,e
苦役犯,forçat
力,force
强力夺取,forcer
空军,forces,aériennes
穿孔,forer
森林的,forestier,,ère
森林,forêt
包费用,forfait
吹牛,forfanterie
铁匠铺,forge
打铁锻造,forger
手续,formalité
大小,format
培训,formation
形状,forme
肯定的,formel
培养,former
好极了,formidable
甲醛的俗称,formol
表格,formulaire
公式,formule
很,fort
fort擅长
非常的,fort
要塞,forteresse
加强,fortifier
财产,fortune
富裕的,fortuné
坑,fossé
掘墓人,fossoyeur
象,fou
疯狂的,fou
雷电,foudre
雷劈,foudroyer
用鞭子抽,fouetter
挖掘,fouille
精致的,fouillé
挖掘,fouiller
围巾,foulard
人群,foule
炉灶,four
微波炉,four,à,micro-onde
狡猾的,fourbe
狡猾,fourberie
餐叉,fourchette
分叉的,fourchu
蚂蚁,fourmi
酷热的地方,fournaise
一批,fournée
被提供的,fourni
提供,fournir
供货商,fournisseur
夹心的,fourré
待领处,fourrière
宿舍家,foyer
喧哗,fracas
打碎,fracasser
部分,fraction
脆弱的,fragile
摘录,fragment
凉爽,fraîcheur
费用,frais
学费,frais,de,scolarité
凉爽的,fraisîche
草莓,fraise
法郎,franc
坦率的,franc
法国的,français
坚决地,franchement
越过,franchir
免税,franchise
讲法语的,francophone
令人惊奇的,frappant
打击,frapper
兄弟般的,fraternel
博爱,fraternité
走私,fraude
私下地,frauduleusement
开辟,frayer
害怕,frayeur
易断的,frêîe
刹车,frein
刹车,freiner
轻微抖动,frémir
狂热,frénésie
常常,fréquemment
经常的,fréquentée
经常去,fréquenter
兄弟,frère
揉皱,friper
骗子,fripon
油炸,frire
卷曲的,frisé
打颤,frissonner
炸土豆条,frite
冷的,froid
被弄皱的,froissé
擦伤,froisser
擦过,frôler
奶酪,fromage
皱,froncer
对立的,frondeur
前额,front
边境线,frontière
摩擦,frottement
摩擦,frotter
水果,fruit
逃跑,fuir
闪烁,fulgurer
烟,fumée
吸烟,fumer
香味,fumet
吸烟者,fumeur
葬礼的,funèbre
致命的,funeste
随着,fur,et
疯狂的,furieux
火箭,fusée
机身,fuselage
融化,fusion
无关紧要的,futile
加水搅拌,gâcher
浪费,gâchis
打赌,gager
挣,gagner
快乐的,gai
愉快地,gaiement
快活,gaieté
坚固的,gaillard
愉快,gaîté
银河,galaxie
苦役,galère
画廊,galerie
卵石,galet
饼,galette
患蜡病的,galeux
威尔士的,gallois
木底皮面套鞋,galoche
奔跑,galop
奔跑的,galopant
军用饭盒,gamelle
顽童,gamin
音阶,gamme
手套,gant
车库,garage
汽车库经营者,garagiste
保证,garant
担保,garantir
男孩,garçon
咖啡馆侍者,garçon,de,café
食品储藏室,garde-manger
保存,garder
幼儿园,garderie,d'enfant
看守,gardien
火车站,gare
停放<车辆,garer
美食学,gastronomie
蛋糕,gâteau
弄脏,gâter
左边,gauche
左派的,gauchiste
钓竿,gaule
高卢的,gaulois
煤气,gaz
瞪羊,gazelle
气体的,gazeux
草坪,gazon
水声涂涂,gazouiller
巨人,géant
严寒,gelée
使结冰,geler
呻吟,gémir
呻吟的,gémissant
宪兵,gendarme
宪兵队,gendarmerie
拘束,gène
不舒服的,gêné
将军,général
一般地,général
一般地,généralement
推广,généraliser
一代,génération
电影片头字幕,générique
慷慨,générosité
《创世纪》,Genèse
奇妙的,génial
天资,génie
膝盖,genou
种类,genre
人们,gens
温柔的,gentil
地理,géographie
地理学的,géographique
经营,gérer
躺倒,gésir
姿势,geste
管理,gestion
管理的,gestionnaire
耳光,gifle
打耳光,gifler
宏伟的,gigantesque
回旋的,giratoire
矿床,gisement
冰淇淋,glace
玻璃或镜子商,glacier
冰窖,glacière
菖兰,glaïeul
拾取,glaner
丧钟,glas
滑脱,glisser
总体的,global
总共地,globalement
地球,globe
光荣,gloire
光荣的,glorieux
贪婪的,glouton
高尔夫球,golf
海湾,golfe
橡皮,gomme
涂有树胶的,gommé
铰链,gond
gonfler膨胀
喉咙,gorge
孩童,gosse
哥特式的,gothique
柏油,goudron
深坑,gouffre
狐狸的旧称,goupil
贪吃的,gourmand
贪吃,gourmandise
美食家,gourmet
蒜瓣,gousse,d'ail
味道,goût
品尝,goûter
滴,goutte
政府,gouvernement
驾驶,gouverner
长卧不起的,grabataire
多亏,grâce,à
和蔼可亲的,gracieux,r,se
台阶,gradin
粗糙雕刻,graffiti
种子,graine
脂肪,graisse
语法学家,grammairien
克,gramme
要紧事,grand-chose
干线,grande,ligne
大型超市,grande,surface
伟大,grandeur
大的,grandie
长大,grandir
祖母,grand-m,ère
祖父,grand-père
祖父母,grands-parents
谷仓,grange
花岗石,granit
用图表表示的,graphique
群,grappe
肥的,gras
赏赐,gratifier
天大楼,gratte-ciel
刮,gratter
免费的,gratuit
免费地,gratuitement
严重的,grave
雕刻,graver
沙砾,gravier
雕刻,gravure
希腊,Grèce
嫁接,greffe
书记官,greffier
雹,grêle
遭受冰雹损坏的,grêlé
铃,grelot
石榴,grenade
石榴树,grenadier
青蛙,grenouille
砂岩,grès
罢工,grève
涂鸦的,gribouilté
爪,griffe
一种狮身,
撩草地写,griffonner
啃,grignoter
有铁栏杆围着的,grillagé
栅栏,grille
烧烤,griller
蟋蟀,grillon
鬼脸,grimace
攀登,grimper
嘎吱作响,grincer
流感,grippe
灰色的,grisée
嗷叫,grondement
嗷叫,gronder
大的,gros
粗劣的,grossier
粗糙,grossière
发胖,grossir
大体上,grosso,modo
岩洞,grotte
班,groupe
吊车,grue
瓜德罗普岛,Guadeloupe
猎豹,guépard
胡蜂,guêpe
痊愈,guérir
痊愈,guérison
医治者,guérisseur
战争,guerre
观察,guet
口,gueule
大声歌唱,gueuler
营业窗口,guichet
导游,guide
方式,guise
吉他,guitare
加龙河,Garonne
体操,gymnastique
h~l,字母
共710个单词
能干的,habile
服装业,habillement
穿,habiller
(剧团的〕服装员,habilleur
可居住的,habitable
住房,habitation
居住,habiter
衣服,habits
习惯,habitude
habitude通常
习惯于……的;常客,habitué
习惯地,habituellement
斧头,hache
剁碎的,haché
打磨,hacher
剁碎的菜,hachis
仇恨,haine
仇恨,haïr
粗毛衬衣,haire
气息,haleine
幻觉,hallucination
汉堡包,hamburger
杆,hampe
有盖高脚杯,hanap
胯骨,hanche
不利条件,handicap
有生理缺陷的,handicapé
棚,hangar
经常出入,hanter
突然咬住,happer
大团圆结局,happy,end
演讲,harangue
扰乱,harceler
大胆的,hardi
大胆,sse
四季豆,haricot
和谐,harmonie
悦耳地,harmonieusement
鱼缥手,harponneur
风险,hasard
hasard偶然地
匆忙,hate
上升,hausse
haut位于高处
战功,haut,fait
高级公务员,haut,fonctionnaire
haut
高傲的,hautain
高度,hauteur
de有能力,hauteur
高音喇叭,haut-parleur
每周的,hebdomadaire
每周地,hebdomadal,rement
留宿,hebergement
留宿,heberger
公顷,hectare
唉,hélas
草,herbe
除苯剂,herbicide
植食性的,herbivore
遗产,héritage
继承,hériter
继承人,héritier,ère
英雄的,héroïque
主人公,héros
犹豫不决的,hésitant
犹豫,hésitation
犹豫,hésiter
山毛榉,hêtre
小时,heure
heure刚才
光荣的时刻,heure,de,gloire
加班加点,heures,pl
幸福的,heureux
碰撞,heurter
六边形,hexagone
猫头鹰,hibou
高科技,high-tech
偷快的,hilare
燕子,hirondelle
吊起,hisser
历史学家,historien
历史的,historique
冬天,hiver
冬季的,hivernal
低租金住房,HLM
点头,hocher,la,tête
拔浪鼓,hochet
曲棍球,hockey
鳌虾,homard
杀人,homicide
(rendre,hommage,à,qqn
,～),m
向某人敬意,
男人,homme
商人,homme,d'affaires
科学家,homme,de,sciences
对等者,homologue
诚实的,honnête
耻辱,honte
羞愧的,honteux
医院,hôpital
时间表,horaire
游牧部落,horde
地平线,horizon
时钟,horloge
占星,horoscope
可怕的,horrible
在外面,hors
在……之外,hors,de
冷盆,hors-d'oeuvre
主人,hôte
旅馆,hôtel
市政厅,hôtel,de,ville
旅馆的,hôtelier,ère
旅馆业,hôtellerie
煤,houîlle
舷窗,hublot
喊着追赶,huer
油,huile
牡骊,huître
人类的,humain
人道主义的,humanitaire
人类,humanité
谦逊的,humble
性情,humeur
潮湿的,humide
使人感到耻辱的,humiliant
幽默的人,humoriste
幽默,humour
嗥叫,hurlement
嗥叫,hurler
茅草房,hutte
大卖场,hypermarché
伪善的,hypocrite
抵押,hypothèque
假设,hypothèse
这里,ici
在人世间,ici-bas
理想的,idéal
唯心主义的,idéaliste
主意,idée
暗地里有了主意,idée,derrière
辨认,identifier
同样的,identique
一致,Identité
意识形态,idéologie
白痴的;白痴,idiot
崇拜偶像的,idolâtre
偶像,idole
紫杉,if
卑鄙的,ignoble
关于,il,est,question,de
似乎,il,paraît,que
有关,il,s'agit,de
扭扭捏捏,il,se,fait
有,il,y,a
有……可能性,il,y,a,moyen,que
岛屿,île
照亮的,illuminé
illuminer照亮
幻觉,illusion
著名的,illustre
小岛,îlot
可想象的,imaginable
想象的,imaginaire
想象,imagination
想象,imaginer
笨蛋,imbécile
模仿,imiter
登记,immatriculation
已注册的,immatriculé
立即,immédiat
立即,imméiatement
宽大的,immense
楼房,immeuble
人境移居的;移民,immigrant
人境迁居,immigration
移民的,immigré
不动的,immobile
不动产;不动产拥有者,immobilier,ère
免疫,immunisation
影响,impact
死胡同,impasse
不耐烦的,impatitmt
无可指摘的,impeccabie
不可想象的,impensable
不可感知的,imperceptible
感觉不到地,imperceptiblement
急迫地,impérieusement
不可渗透的,imperméable
衣
无怜悯心的,impitoyable
插人,implantation
插入,implanter
要求,impliquer
乞求,implorer
重要性,importance
重要的,important
进口,importation
进口,importer
进出口贸易,import-export
规定做某事,imposer,de,faire,qqch
不可能的,impossible
骗子,imposteur
残废的,impotent
戏班班主,imprésario
印象,impression
给人留下深刻印象的,impressionnant
印刷,imprimer
印刷厂,imprimerie
improviste突然地
不小心,imprudence
推动力,impulsion
归咎于,imputer
最后关头,in,extremis
没完成的,inachevé
营养不足的,inanition
意外的,inattendu
不注意,inattention
为……举行开幕典礼,inaugurer
白热的,incandescent
无能力的,incapable
监禁,incarcérer
火灾,incendie
不确定,incertitude
incessant不停的
事件,incident
焚化,incinérer
倾斜的,incliné
隐姓埋名地,incognito
无色的,incolore
不方便的,incommodé
无可比拟的,incomparable
无能力的,incompétent
不理解,incompréhension
无知觉的,inconscient
孤独的,inconsolable
缺点,inconvénient
令人难以置信的,incroyable
荒芜的,inculte
无法治愈的,incurable
未定的,indécis
优柔寡断,indécision
津贴,indemnité
独立,indépendance
独立的,indépendant
按……计算,indexer
指南,indicateur
电话的区位号,indicatif
指示,indication
指数,indice
印度的,indien
无动于衷,indifférence
无动于衷的,indifférent
本地人,indigène
不配……的,indigne,de
愤怒的,indigné
使气愤,indigner
指出的,indiqué
指,indiquer
间接的,indirect
间接地,indirectement
不慎重的,indiscret,,ète
无可争论地,indiscutablement
不可缺少的,indispensable
个体,individu
个体的,indivïduel
不顺从的,indocile
未驯化的,indompté
必然的,indubitable
引出,induire
由……导致的,induit,par,prépr
宽容的,indulgent
工业,industrie
高科技工业,industrie,de,pointe
工业的,industriel
以工业的方式,industriellement
不能抹去的,ineffaç
不平等的,inégal
不平等,inégalité
不可抗拒的,inéluctable
取之不尽的,inépuisable
不可避免的,inévitable
无情地,inexorablement
缺乏经验的,inexpérimenté
无法解释的,inexplicable
没有错误的,infaillible
使人患幼稚症的,infantilisant
地狱的,infernal
无限地,infiniment
衰弱的,infirme
护士,infirmier,,ère
通货膨胀,inflation
影响,influence
对开的,in-folio
计算机编程员,informaticien
信息,information
计算机,informatique
通知,informer
不幸的,infortuné
违反,infraction
不可逾越的,infranchissable
infructueux无成果的
工程师,ingénieur
ingrat忘恩负义的
成分,ingrédient
不寻常的,inhabituel
固有的,inhérent
开始,initiale
启蒙,initiation
à入门,initier
侮辱,injurier
不公正的,injuste
不公正,injustice
天真的,innocent
创新的,innovant
改革,innovation
革新,innover
洪水,inondation
淹没,inonder
难忘的,inoubliable
闻所未闻的,inoui
不安的,inquiet,ète
令人不安的,inquiétant
inquiéter不安
不安,inquiétude
不满的,insatisfait
注册,inscription
inscrire注册
昆虫,insecte
疯狂的,insensé
不可分离的,inséparable
插入,insertion
无意义的,insignifiant
坚持,insister
日照,insolation
蛮横无理的,insolent
难以解决的,insoluble
失眠,insomnie
无优无虑的,insouciant
检察员,inspecteur
审查,inspection
灵感,inspiration
de从…得到启发,inspirer
不稳定的,instable
安装好的,installé
installer安置
瞬间,instant
本能,instinct
学院,institut
小学教师,instituteur
指令,instruction
instruire学习
工具,instrument
攻击,insulter
受不了的,insupportable
合并,intégration
归纳,intégrer
知识分子,intellectuel
智慧,intelligence
Intelligent聪明的
集中的,intensif
强度,intensité
意图,intention
禁止,interdiction
禁止某人做某事,interdire,à,qqn,de
被禁止的,interdit
精彩的,intéressant
intéresser关心
利息,intérêt
内部的,intérieur
在……里面,intérieur,de,(à,prêp
对话者,interlocuteur
中间的,intermédiaire
无休止的,interminable
国际的,internationale
网民,internaute
被询问的,interpellé
内线电话机,interphone
解释,interprétation
解释,interpréter
行业的,interprofessionnel
询问,interrogation
审讯,interrogatoire
询问,interroger
打断,interrompre
中止的,interrompu
干涉,intervenir
采访,interview
采访,interviewer
体内的,intestin
亲密,intimité
不宽容,intolérance
使毒化,intoxiquer
无畏的,intrépide
阴谋,intrigue
找不到的,introuvable
擅闯入的,intrus
侵人,intrusion
直觉,intuition
伊努伊特人,Inuit
耐用的,inusable
无用的,inutile
无效的,invalide
侵略,invasion
斥骂,invective
斥骂,invectiver
发明,inventer
发明,invention
相反的事物,inverse
de与……截然相反,inverse
倒置,inverser
投资,investir
投资,investissement
邀请,invitation
邀请,inviter
讽刺,ironie
挖苦的,ironique
不能实现的,irréalisable
不能缩减的,irréductible
抑止不住的,irrépressible
无可非议的,irréprochable
不可逆转的,irréversible
恼怒,irritation
激怒,irriter
伊斯兰教,islam
孤独的,isolé
以色列的,israélien
出口,issue
出身于……,issue,de
……结束时,issue,deprép
意大利,Italie
线路,itinéraire
巡回的,itinérant
象牙,ivoire
酗酒的,ivrogne
一种怪物,ixion
jaillir喷出
标出,jalonner
嫉妒,jalousie
妒忌的,jaloux
曾经,jamais
决不,jamais,de,la,vie
腿,jambe
火腿,jambon
一月,janvier
花园,jardin
小园子,jardinet
行话,jargon
喋喋不休,jaser
黄色的,jaune
使变黄,jaunir
爵士乐,jazz
说不上来的东西,je,ne,sais,quoi
谢谢,je,vous,en,prie
喷泉,jet,d'eau
扔,jeter
一瞥,jeter,un,coup,d'oeil
筹码,jeton
游戏,jeu
电子游戏,jeu,vidéo
星期四,jeudi
年轻的,jeune
青年,jeunesse
慢跑,jogging
喜悦,joie
连接,joindre
美丽的,joli
漂亮地,joliment
耍手腕者,jongleur
黄水仙,jonquille
玩罗多游戏,jouer,au,loto
枷锁,joug
享乐,jouir,de
享受,jouissance
玩具,joujou
演奏者,se
天,jour
日报,journal
每日的,journalier,,ère
私人日记,journalintime
新闻业,journalisme
记者,journaliste
电视新闻,journaltélévisé
天,journée
高兴的,joyeux
犹太教,judaïsme
司法的,judiciaire
柔道,judo
法官仲裁者,juge
判决,jugement
审判,juger
犹太人,juif
七月,juillet
六月,juin
双胞胎,jumeau
并排联结的,jumelé
母马,jument
热带丛林,jungle
Jura汝拉山脉
发誓,jurer
司法上的,juridique
法学家,juriste
诅咒,juron
陪审团,jury
汁,jus
直到……,jusqu
公正的,juste
公正地,justement
公正,justice
伸张正义的人,justicier,,ère
使合法化的,justificatif
为……辩解,justifier
主保瞻礼节露天赈济游艺会,kermesse
绑架,kidnapper
公斤,kilo
千米,kilomètre
报刊亭,kiosque
那边,là
那边,là-bas
标签,label
苦工,labeur
实验室,laboratoire
勤劳的,laborieux
可耕种的,labourable
耕地者,laboureur
湖,lac
鞋带,lacet
潦草的,lâche
在里面,là-dedans
在这点上,là-dessus
浅泻湖,lagon
抒情小诗,lai
丑陋的（人),laid
羊毛,laine
牢牢地控制住某人,laisse,(mettre,qqn
让,laisser
乳,lait
有关乳品的,laitier,,ère
刀刃,lame
落地灯,lampadaire
灯,lampe
手电筒,lampe,de,poche
灯笼,lampion
长枪,lance
投掷,lancement
扔,lancer
双篷四轮马车,landau
荒野,lande
语言,langue
衰弱,langueur
萎靡不振,languir
一种雄鹰,lanier
皮带,lanière
灯笼,lanterne
兔,lapin
laps一段时间
猪膘,lard
宽阔的,large
宽广地,largement
宽度,largeur
松开,larguer
眼泪,larme
强盗,larron
幼虫,larve
疲倦的,las
狡猾的人,lascar
疲倦的,lassé,ie
侧面的,latéral
拉丁的,latin
得奖者,lauréat
荣誉,laurier
欧洲夹竹桃,laurier-rosé
盟洗室,lavabo
洗涤,lavage
熏衣草,lavande
laver洗
洗碟机,lave-vaisselle
宽容,laxisme
新生儿的衣着用品,layette
课程,leçon
lecteur读者
阅读,Lecture
合法地,légalement
古罗马副执行官,légat
传奇,légende
轻的,léger,,ère
轻轻地,légèrement
罗马军团,légion
法学的,légiste
遗留,léguer
蔬菜,légume
第二天,lendemain
慢的,lent
慢慢地,lentement
缓慢,lenteur
灰暗的,lerne
洗衣粉,lessive
信,lettre
文学,lettres,pl
国书,lettres,de,créances,pl
引诱,leurrer
起床的,levé
收取,levée
lever起床
举手,lever,Le,doigt
操纵杆,levier
嘴唇,lèvre
《人道报》,l'Humanité
联结,liaison
藤,liane
蜻蜓,libellule
自由放任主义,libéralisme
《解放报》,Libération
解放,libérer
自由,liberté
放纵者,libertin
书店,librairie
自由的,libre
自由的意愿,libre,arbitre
学士学位,licence
法学士学位,licence,en,droit
辞退,licenciement
辞退,licencier
关系,lien
连接,lier
常春藤,lierre
地方,lieu
lieu发生
de代替,lieu
法国古里,lieue
雄野兔,lièvre
家族,lignage
路线,ligne
ligne在线
捆绑,ligoter
限制,limiter
清澈的,limpide
清透,limpidité
亚麻,lîn
裹尸布,linceul
洗涤,lingere
语言学,linguistique
狮子,lion
液体的,liquide
读,lire
清晰易读,lisibilité
字迹清晰的,lisible
磨光的,lisse
打磨,lisser
名单,liste
床,lit
一连串,litanie
升,litre
文学的,littéraire
文字上,littéralement
文学,littérature
苍白的,livide
交付,livraison
籍,livre
半公斤,livre
袖珍书,livre,de,poche
交付,livrer
参与战争,livrer,bataille
书本上的,livresque
小册子,livret
送货员,livreur
场所,Local
地方的,local
房客,locataire
租赁,location
门房,loge
住所,logement
居住,loger
软件,logiciel
逻辑学,logique
法律,loi
远的,loin,de,prê
远离的,lointain,e
卢瓦河,Loire
空闲,loisir
长的,long
沿着……走,longer
长久地,longtemps
长度,longueur
望远镜,longue-vue
在……期间,lors,de,prê
当……时,lorsque
份额,lot
彩票抽彩处,loterie
国家彩票,loterie,nationale
六合彩,loto
体育彩票,loto,sportif
出租,louer
沉重的,lourd
水獭,loutre
租金,loyer
游戏的,ludique
闪光,lueur
光线,lumière
星期一,lundi
月亮,lune
眼镜,lunette
无优无虑的人,luron
光泽,lustre
斗争,lutte
与……斗争,lutter,contre
卢森堡,Luxembourg
奢侈的,luxueux
中学,lycée
中学生,lycéen
抒情的,lyrique
m~q,字母
个单词,共1468
炉渣,mâchefer
阴谋,machination
机器,machine
计算器,machine,à,calculer
洗衣机,machine,à,laver
下颔,mâchoire
泥瓦工,maçon
夫人,madame
小姐,mademoiselle
商店,magasin
期刊,magazine
占星家,mage
魔术师,magicien
魔术,magie
神奇的,magique
磁的,magnétique
磁带录音机,magnétophone
壮丽的,magnifique
五月,mai
瘦的,maigre
运动衫,maillot
浴衣,maillot,de,bain
手,main
main握手
劳动力,main,d'oeuvre
很多,maint
现在,maintenant
既然,maintenant,que
保持,maintenir
保持,maintien
市长,maire
市政府,mairie
但是,mais
玉米,maïs
房子,maison
老师,maître
游泳教练兼救生员,maître-nageur-sauveteur
硕士学位,maîtrise
控制,maîtriser
较多的,majeur
多数,majorité
不好地,mal
mal说坏话
病人,malade
男性的,mâle
不幸,malédiction
作恶者,malfaiteur
粗暴的,malgracieux
虽然,malgré,prê
不管人们怎样不愿意,malgré,qu'on,en,ait
不幸,malheur
不幸地,malheureusement
不幸的,malheureux
不诚实的,malhonnête
狡黯地,malicieusement
机灵的,malin
不卫生的,malsain
妈妈,maman
我的爱人,mamie
哺乳动物,mammifère
英吉利海峡,Manche
汇票,mandat
命令,mander
驯马术,manège
手柄,manette
吃,manger
易于操纵的,maniable
狂人,maniaque
使用,manier
挥刀,manier,les,armes
方式,manière
做作的,maniéré
矫柔造作,maniérisme
撒谎者,manieur
活动,manifestation
表示,manifester
操作,manipulation
手柄,manivelle
模特,mannequin
操作,manoeuvre
小城堡,manoir
缺少,manque
违犯,manquement
缺少,manquer,de
复折屋顶,mansarde
大衣,manteau
模型,maquette
化妆,maquillage
化妆,maquiller
化妆,maquiller
丛林,maquis
沼泽,marais
盐田,marais,salant
后母,marâtre
偷农作物的人,maraudeur
商人,marchand
行走,marche
市场,marché
倒退,marche,arrière
跳蚤市场,marché,aux,puces
劳务市场,marché,du,travail
步行,marcher
星期二,mardi
沼泽,marécage
潮汐,marée
丈夫,mari
结婚,mariage
marié已婚的
marier结婚
水手,marin
船员,marinier
傀儡,marionnette
沿海的,maritime
营销学,marketing
锅,marmite
小男孩,marmot
商标,marque
marqué印上标记的
做标记,marquer
侯爵夫人,marquise
marre厌烦了
marrer捧腹大笑
栗色的,marron
三月,mars
马赛,Marseille
锤子,marteau
貂,martre
面罩,masque
伪装,masquer
块,masse
聚集,masser
按摩师,masseur
高地,massif
中央高原,Massif,central
夺彩竿,mât,de,cocagne
粗糙的,mat
比赛,match
床垫,matelat
唯物主义,matérialisme
材料,matériaux
设备,matériel
数学,mathématiques,pl
物质,matière
备选题材,matière,à,option
早晨,matin
Matin《晨报》
早起的,matinal
上午,matinée
诅咒,maudire
被诅咒的,maudit
摩尔人,Maure
坏的,mauvais
不良作风,mauvaises,manières
疾病,maux
准则,maxime
重油,mazout
机修工,mécanicien,n
机械学,mécanique
坏蛋,méchant
凶恶的,méchant
不满的,mécontent
不满意,mécontentement
奖章,médaille
医生,médecin
医学,médecine
大众传播媒介,média
半夜餐,médianoche
多媒体,médiathèque
药片,médicament
中世纪的,médiéval
诽谤,médire,de
思考,méditer
地中海,Méditerranée
地中海的,méditerranéen
坏事,méfait
不信任,méfiance
多疑的,méfiant
méfier不信任
更好的,meilleur
最美好的祝愿,meilleurs,voeux
混合,mélange
混合,mélanger
mêler混合
旋律,mélodie
甜瓜,melon
成员,membre
相同的,même
记忆,mémoire
值得纪念的,mémorable
默记,mémoriser
威胁,menace
威胁,menacer
安排,ménager
家庭的,ménager,,ère
乞丐,mendiant
行乞,mendier
手铐,menottes,pl
谎言,mensonge
每月的,mensuel
思想,mentalité
提及,mention
撒谎,mentir,à
菜单,menu
细木工匠,menuisier
蔑视,mépris
轻视,mépriser
海,mer
服饰用品店,mercerie
谢谢,merci
星期三,mercredi
信史,mercure
母亲,mère
老母鸡,mère-poule
功绩,mérite
值得,mériter
