算盘,abacus
荒原,wold
糊里糊涂的,woozy
泄愤,wreak
蛋黄,yolk
精神饱满的,zippy
解决方案,solution
大統領,presidential
選挙,election
堕落,corruption
胆小,coward
政治,political
了解,understood
道歉,apologised
电视,television
会见,interview
提高,improve
正义,justice
運動,campaigning
脅迫,threatened
暗杀,assassinate
起訴,accuse
4月,April
主張,insisted
混乱,confusion
発表,announcement
歌唱,vocal
批評家,critic
应用程序,application
不可欠,Essential
補佐,assistant
米国聖公会,Episcopalian
教会堂,church
普林士顿,Princeton
新泽西州,New Jersey
疾走,scurrying
宗教,religion
循序渐进,gradual
自由,freelance
明尼阿波利斯,Minneapolis
明尼苏达州,Minnesota
牧师,pastors
宗教,religions
宗教,religious
景观,landscape
因素,factors
丑闻,scandals
反驳,disproves
狂欢,raving
强调,stressing
坚持,adhering
公约,conventions
前期,upfront
分歧,divergent
完善,refined
关注,concerns
协调,coordinates
机制,mechanism
保持,maintain
基本,fundamental
复数,plural
序列,sequence
意义,significance
开创性,groundbreaking
潜力,potential
超级计算机,Supercomputing
游说,lobbying
语法,syntax
哲学,philosophy
信条,tenets
理想,ideally
耶鲁镇,Yaletown
优雅,elegance
救世主,saviour
特点,characteristics
凝固,solidified
继承,inheritance
功能,functionality
原则,principles
引发,sparked
拥抱,embraced
搁置,shelved
困扰,plagued
统一,unifying
接近,approach
机制,mechanisms
铺路,paving
含蓄,implicitly
反思,introspecting
沮丧,frustrated
萌芽,budding
社会,community
令人印象深刻,impressive
反思,introspect
不断,Constantly
幸福,bliss
沉闷,dull
曲线,curve
通过,adoption
企业,enterprise
质量,quality
持续,persistance
操纵,manipulating
题为,entitled
突破,breakthrough
障碍,barriers
最小,tiniest
降低,lowering
强大,Powerful
大本营,Basecamp
无情,ruthless
代表团,delegation
调查,Investigate
方面,aspects
威灵顿,Wellington
指责,blames
灯塔,Lighthouse
偶然,stumbled
新闻,journalism
校友,alumni
永生化,immortalized
无数,numerous
保持,maintains
掌声,applause
名誉,emeritus
忠诚,loyal
坚定,steadfast
股东,shareholder
领导,stewardship
负责,accountable
救助,bailouts
司令部,headquarters
耐心,patience
合法性,legitimacy
充分,adequately
主席,chairman
诋毁,detractor
发言人,spokeswoman
观众,audience
认捐,pledge
收购,acquisitions
发言人,spokesman
董事,director
机械师,machinist
例程,routine
庭院,courtyard
禽流感,Flu
机构,institution
传输,transmission
备灾,preparedness
严重,severe
住院,hospitalization
流行病,epidemics
爆发,outbreak
召开,convened
症状,symptom
大会,Congress
禁止,banning
涉及,concern
应变,strain
传染病,Infectious
裁缝,tailor
路易斯安那,Louisiana
特拉华,Delaware
储存,stockpile
抗病毒药物,antiviral
流行病,pandemics
呼吸,respiratory
综合征,syndrome
秘书长,Secretary
参议员,senator
国家,country
立即,immediate
实验室,laboratory
手段,measure
治疗,treatment
散布,distribute
蔓延,spread
劝阻,discourage
聚会,gathering
失败,fizzle
预防,Prevention
康涅狄格,Connecticut
类固醇,steroid
过量,overmedication
监视,surveillance
网民,cybercitizen
グーグル,Google
涂鸦,Doodle
扰乱,disrupt
拆除,dismantle
战略,strategy
直升机,helicopter
特大,extraordinarily
建设性,constructive
发誓,vow
部队,troops
暴力,violence
叛乱,insurgency
冲突,conflict
毫不动摇,unwavering
政治家,politician
大学预备,Preparatory
移民,immigrant
没问题,alright
弗朗西斯,Francis
诊断,diagnosis
达菲,Tamiflu
到场,attendance
美国华盛顿州,WASHINGTON
无罪的,innocent
手榴弹,grenade
伤亡,casualty
收回,withdrawal
空袭,airstrike
示威运动者,demonstrator
抗议者,protester
放弃,resign
同情,sympathy
盾,shield
非战斗人员,noncombatant
在别处,Elsewhere
自杀,suicide
疾风,blast
喀布尔,Kabul
阿富汗,Afghanistan
立法者,lawmaker
美国联邦政府的,federal
跳伞,bailout
四处觅食,prowl
解释,interpretation
鉴于,whereas
本质地,constitutionally
美国爱达荷州,Idaho
刺激,stimulus
原则,principle
矛盾的,contradictory
燃料,fuel
民主的,Democratic
保守的,conservative
催促,urge
立法的,legislative
共和党员,Republican
州长,governor
过长,overreach
决心,resolution
纠纷,complication
发起者,sponsor
限制,restriction
纯粹主义者,purist
加州,California
大麻,marijuana
民主主义者,Democrat
澄清,clarify
美国得克萨斯州,Texas
挫折,frustration
矛盾,Contradiction
反对,opposition
鲜艳的,vivid
调整者,regulator
相互作用的,Interactive
蠕动,wriggle
威彻斯特,WESTCHESTER
扩大,Enlarge
征募新兵,recruitment
全市的,citywide
主要的,principal
近郊住宅区,suburb
保证,guarantee
焦虑的,anxious
布鲁克林,Brooklyn
煤,coal
碳,carbon
二氧化物,dioxide
冒险,venture
常规,conventional
硫,sulfur
酸的,acid
烟雾,smog
预测,forecast
碳,carbonation
占优势的,dominant
吹毛求疵的,supercritical
吸引,Engage
驾驶员座舱,Cockpit
登记,Registration
国书,credentials
最高的,Supreme
法庭,Court
指望,prospect
精髓的,quintessential
学者,scholar
抄本,Transcript
集中,concentrate
总英里数,mileage
加仑,gallon
提倡者,advocate
过期的,overdue
确实,certainty
突然的,abrupt
不稳固的,shaky
代理权,dealership
辩论,debate
区,District
诉讼,lawsuit
拒绝,refusal
放弃,waiver
阵容,lineup
监狱看守,turnkey
碳氢化合物,hydrocarbon
爆炸的,explosive
上升,uptick
恶意软件,malware
主流,mainstream
出口,outlet
大概,approximately
暴露,Unmask
易受伤,Vulnerability
增长迅速的,burgeoning
电信,telecommunication
最后,eventually
9月,September
医疗保健,healthcare
再生,reproductive
单纯化,simplistic
激动,inflammatory
保险,insurance
拥护,advocacy
误传,misinformation
提案,proposal
委员会,Committee
商务,Commerce
覆盖面,coverage
爆发,outburst
回赎权的取消,foreclosure
卖书者,bookseller
众议员,Assemblyman
肿瘤,tumor
外科医生,surgeon
国界,Borderline
报摊,newsstand
多媒体,Multimedia
时事通讯,Newsletter
哨兵,Sentinel
可及性,Accessibility
聚合器,aggregator
菜谱,cookbook
综合化,Integration
估计,estimate
商标,trademark
符号化,signify
建筑师,Architect
基本功,skillset
整体,overall
建筑,construction
实施,implementation
专长,speciality
契合,conjunction
影响,influence
流利,Fluent
机会,opportunity
考虑,consideration
表示,expression
起源,origin
伤残,disability
退伍军人,veteran
代表,representation
顾问,Consultant
战略,strategic
建筑学,architecture
资深,senior
品行,Conduct
咨询学校,consultancy
方法学,methodology
促进,promote
相对物,counterpart
相互,mutual
教练,Coach
小辈,junior
运输,transportation
工厂,manufactory
能力,capability
介绍,presentation
洞察,insight
优化,optimization
激情,passion
订婚,engagement
发行,distribution
事业,career
收获,harvest
能干,competent
地方化,localization
目的,purpose
排列,align
建筑,architectural
证明,prove
化学,Chemistry
石油,Petroleum
熟悉,Familiar
国际,international
骄傲,proud
解释,explanation
技术,technique
完全,exclusively
临时地,temporarily
奖励,reward
算法,algorithm
商业,commercial
效率,efficiency
混淆,confuse
意味深长,meaningful
不可避免地,inevitably
操作,manipulate
理论上,theoretically
生存,survive
动态地,dynamically
保护,Protection
加密,encryption
防止,prevent
反编译,decompiler
再分配,redistribution
迷惑,Obfuscation
优秀,Excellent
导航,Navgation
定制,customizable
专门研究,specialize
航海,navigation
品种,variety
尺寸,dimensional
伴随,accompany
现实,realistic
难忘,memorable
组分,component
工作流,workflow
外部,external
同步,synchronization
胶浆,glue
坚持,persistence
推举,referral
奖金,bonus
规则,Regular
周末,weekend
Telecommuter,Telecommuter
准备,preparation
推荐,recommendation
交付,deliverable
经验,experience
咨询,consulting
周期,cycle
口头,verbal
予售,Presale
更喜欢,preferred
学士,Bachelor
中间,Intermediate
申请人,applicant
赌金保管人,stakeholder
沟通,Communicate
座标,coordinate
管理,management
文件,document
重要,critical
档案,archive
采取,adopting
合作,collaborate
关系,relationship
全球化,Globalization
施行,execution
博士学位,Doctorate
另外 ,Additional
敏捷,Agile
自动化,Automation
创新,innovative
办法,approaches
合作,collaboration
预算,budget
介入,involve
不断地,continually
附庸,dependencies
有效地,effectively
高效率地,efficiently
发展,development
合作,collaborative
气候,climate
追求,pursue
优秀,excellence
贡献,contribute
技术,technical
硕士,Master
简化,simplified
信息,information
领导,leadership
处理,managing
天分,talent
教练,coaching
刺激,motivating
保留,retaining
生长,growing
测量,measuring
单独,individual
平衡,balance
要求,requirement
环境,environment
翻译,translate
交付,deliver
表现,Performance
专家,Specialist
责任,Responsibility
有效率,effectiveness
地理,geographic
管道,pipeline
作战,tactical
智力,Intelligence
教导,guidance
协助,assist
前摄,proactively
脚印,footprint
内部,internal
虚拟,virtual
竞争者,competitor
世代,generation
研讨会,seminar
摊,booth
启动,enablement
材料,material
冠军,champion
路线图,roadmap
证明,Proven
人际,interpersonal
通信,Communication
传统,Traditional
就业,employment
分配,assigned
调整,tuning
描述,description
分析,analyze
知识,knowledge
分类,assortment
财务,finance
交付,delivery
功能,Functional
时间安排,timeline
要求,demanding
操作,operational
评估,Evaluate
独立地,independently
提议,propose
挑战,challenging
可允许,permissible
财政,Financial
能力,competency
运用,utilization
提议,proposition
提高,enhance
满意,satisfaction
能承受,sustainable
负责任,responsible
最大化,maximize
极小值,Minimum
多,multiple
促进因素,motivator
自愿,Willingness
估计,assess
互联网,internet
部门,Department	
证明,certified
交涉,Negotiation
期望,expectation
帐户,account
度规,metrics
成长,growth
建立,establishing
监督,Oversee
技术,Technology
需求,demand
卖主,seller
疆土,territory
亲自,Personally
有效,effective
协商,consultative
基础设施,infrastructure
化学制品,Chemical
多民族,multinational
普通话,Mandarin
组织,organization
背景,background
产业,Industry
车间,Workshop
成一体,unified
竞争,Competitive
帮助,Facilitation
资历,Seniority
区段,Sector	
概述,outline
显示器,monitor
治理,govern
舒适,comfortable
口头上,verbally
说法,parlance
组织,organize
分析,analysis
最初,initial
明确地,specifically
候选人,candidate
广播,broadcast
日历,calendar
人群,crowds
照片,photograph
合作,cooperative
特别是,especially
丰足,plenty
使馆,Embassy
领事,consular
马萨诸塞,Massachusetts
大道,Avenue
档案馆,chancery
杜邦,Dupont
大使,ambassador
资本,capital
陈设品,furnishings
没人住,unoccupied
绷带,bandage
印度尼西亚,Indonesia
教育,educational
古铜,bronze
雕象,statue
最初,prime
部长,minister
安置,placement
名誉,honorary
公民身份,citizenship
海军,Naval
观测所,Observatory
诗,poem
朝代,Dynasty
撤退,retreating
中间,amid
理想,ideal
诗,poetic
工程师,engineer
古老,ancient
激发,exciting
努力地,diligently
演讲,addressing
科学,science
使命,mission
立即,instantly
改善,improvement
语音,phonetic
字母,alphabet
可靠,reliable
瞄准,targeted
可测量,measurable
发现,discovered
未利用,untapped
个人化,Personalization
管理,administration
维护,maintenance
永久地,permanently
定制,customization
决心,determination
查明故障,troubleshooting
联接,joint
分析,analytical
态度,attitude
复杂,complicated
结构,structure
冲击,impact
方式 ,manner
主动,proactive
指南,guideline
投资者,investor
节录,excerpt
章节,chapter
力量,force
押韵,rhymes
天文学,astronomically
消极,negative
泡影,Bubble
笔直落下,plummeting
可疑,suspicious
天才,genius
绊倒,stumble
公牛,bull
心理学,psychology
警惕,wary
出现,appearance
努力解决,grappling
竞争,competition
算法,algorithmic
包含,inclusive
兢争者,contestant
山,Mountain
尝试,attempt
立刻,immediately
管理员,administrator
再生产,reproduce
计算,computational
做法,procedure
完成,accomplishing
计算,calculate
虽然,albeit
汇编,assembly
专家,professional
热忱,dedicated
总部设,Headquartered
,organisation
连续,continuous
,presence
管理,regulatory
当局,authorities
分析员,analyst
可接受,Acceptable
写,written
解决,Settlement
取得联络,Liaise
实施,implementing
稳定,stabilizing
发行家,brokerage
清除,clearance
互动,interacting
交换,exchanges
战略上,strategically
中心区域,heartland
部族,tribal
毗邻,bordering
堡垒,stronghold
结果,outcome
队伍,troop
不确定性,uncertainty
指控,allegations
讨论,discussions
决定,decision
争执,dispute
安排,arrangement
可信,credible
录音,taped
强调,emphasized
做,committing
履行,fulfillment
充分,adequate
坚固,substantial
国会,Congressional
共和党人,Republicans
总统,President
意欲,intends
宣布,announce
居民,residents
出逃,fleeing
废墟,ruins
十二,dozen
火焰,flames
涉嫌,alleged
闷燃,smoldering
炮火,gunfire
侵略,invaded
随后,subsequent
gunbattles,gunbattles
骑马,riding
罪行,crime
谋杀,murder
贫民窟,slums
陋屋地区,shantytowns
贫民区,favelas
决赛,runoff
争执,disputed
敦促,urged
研究结果,findings
调查,investigation
怨言,Complaints
委员会,Commission
选举,Electoral
不负责任,irresponsible
初步,Preliminary
挑战者,challenger
放弃,discards
选票,ballots
好战分子,militants
事件,incident
受伤,wounded
瞄准,aimed
扣留,detaining
扣留,detained
伊朗语,Iranian
司令员,commanders
革命,Revolutionary
司令员,commander
种族,ethnic
歧视,discrimination
控制,dominated
要求,claimed
委员会,Council
异常,unusual
议会,parliament
恐怖主义,terrorism
谴责,condemned
介入,involvement
有问题,problematic
指责,accusations
偏转,deflecting
有争议,controversial
核,nuclear
嫌疑犯,suspects
审查员,inspectors
铀,uranium
充实,enrichment
设施,facility
批准,ratified
稳定,stability
批准,ratify
注重,stressed
分界,demarcation
铺,pave
巴尔干,Balkan
独立,independence
阿尔巴尼亚人,Albanians
阿尔巴尼亚语,Albanian
走私贩,smugglers
半球,hemisphere
免疫,immunization
诊所,clinics
复杂化,complications
手术,surgery
紧张,nervous
疾病,Disease
在中,throughout
接种,vaccinated
监督,oversight
加倍,redoubling
温和,mild
重大,significant
严肃,serious
恶化,worsen
关心,concerned
密集,intensive
迁移,Migration
消费者,consumers
迫切要求,urging
移民,migrants
剥削,exploited
交易,trafficking
交易,trafficked
购买,purchasing
发射,launching
竞选,campaign
挑战,challenges
开发,exploitation
鼓励,encouraging
不平等,inequality
贫穷,poverty
性别,gender
不合情理地,unreasonably
消费者,consumer
行为,behavior
特殊,particular
估计,estimates
负责任地,responsibly
奴役,servitude
保税,bonded
增量,increases
农业,agricultural
国内,domestic
工业化,industrialized
国家,countries
严厉地,severely
薪水,wages
越来越,increasingly
公平,fair
达成协议,according
道德,ethical
情绪,sentiments
了悟,awareness
零售商,retailers
企业,businesses
揭幕,unveil
官员,officials
苏丹人,Sudanese
刺激,incentives
说服,convincing
争执,disputes
使节,envoy
团结,unity
揭幕,unveils
承诺,pledged
孤立,isolate
控告,indicted
犯罪,Criminal
指责,accused
策划,masterminding
达尔富尔,Darfur
平民,civilians
半,semi
公民投票,referendum
以前,Previously
民用,civil
搅动,churning
公里,kilometers
迈阿密,Miami
加速,accelerated
危险,dangerous
预测员,forecasters
极端,extremely
半岛,peninsula
近海处,offshore
捣,pounded
阵风,gusts
潜在地,potentially
压力,pressure
崩溃,collapsed
马拉松,Marathon
底特律,Detroit
密歇根州,Michigan
运输,transported
阴云密布,overcast
温度,temperatures
受害者,victim
参加者,participants
精神,Spiritual
战士,Warrior
宗师,guru
杀人,homicide
住医院,hospitalized
死亡率,fatalities
亚利桑那,Arizona
毯子,blankets
封闭,enclosed
合作,cooperating
抢救,rescue
救护车,ambulances
到来,arrival
受害者,victims
借用,borrows
传统,tradition
财政,financially
精神上,mentally
完全,physically
精神上,spiritually
各种各样,various
评论,commentary
刺中,stabbed
该当,deserve
追悼,grieves
调查员,Investigators
路易斯维尔,Louisville
通报,notifying
谁,whoever
未认出,unidentified
空运,airlifted
哈特福德,Hartford
伤害,injuries
佛罗里达,Florida
调查,investigating
嫌疑犯,suspect
侧卫,cornerback
爱斯基摩,Huskies
平底船,punt
弗吉尼亚,Virginia
上尉,captain
传记,biography
船夫,punter
眼泪汪汪地,tearfully
奋斗,struggled
现实,reality
筑堡垒于,fortifies
资助,funded
占领,seize
漂流,adrift
可胜任,capable
纸板,cardboard
输送管,duct
胶合板,plywood
科罗拉多,Colorado
茶碟,saucer
确定,determine
维度,dimensions
测量,measurements
工具,contraption
聚光灯,spotlight
战斗机,fighters
枪战,shootout
活动家,Activists
战士,soldier
评论家,critics
奋斗,struggle
不可能,impossible
印象,impression
秘密,secrecy
乔装,disguises
假名,pseudonyms
最镇静,calmest
读者,readership
编写,compiling
特选,preferences
别名,aliases
伴侣,companions
衣物,clothing
质朴,funky
运动鞋,sneakers
任务,assignment
男女皆宜,unisex
怀疑,suspicions
承认,concedes
曼哈顿,Manhattan
回顾,review
女服务员,waitress
服装,costumes
人,personas
精神食粮,manna
天堂,heaven
好处,advantage
断续装置,Ticker
前,Former
专家,professionals
阿拉斯加,Alaska
询问,inquiries
参与,participate
敌手,rival
军事,military
周到,thorough
阿富汗,Afghan
私下,Privately
谈判,negotiate
交谈,conversation
剧烈,dramatic
国会大厦,Capitol
系统,systemic
参议院,Senate
债务,debts
根本地,fundamentally
投射,projections
兆,trillion
债务,debt
百分比,percentage
能忍受,tolerable
通信,Communications
惊奇地,Surprisingly
假定,assumptions
越南,Vietnam
平行,parallels
尊敬,respects
数十年,decades
强调,underlying
撕毁,torn
密谋,plotting
协助,assistance
说服,convinced
拒绝,rejected
声明,statement
讨论,discussion
紧张,tension
词根,stems
化妆,masquerading
批评,criticized
经济,economic
熔毁,meltdown
奖金,bonuses
时运,fortunes
纳税人,taxpayer
受益人,beneficiaries
保卫,defends
调整,restructure
雄心勃勃,ambitious
向下,downward
膨胀,expansive
保险费,premiums
楔子,wedge
民主党,Democrats
卡迪拉克,Cadillac
立法,legislation
交涉,negotiations
挫伤,dampened
抛弃,foregone
薪水,wage
报偿,compensation
完成,accomplish
候选人,candidates
推托,dodged
提案,proposals
时事通讯,Newsletters
圆桌,Roundtable
巴基斯坦,Pakistan
气球,Balloon
充电,Charges
炮制,concocted
相关,Associated
巨型,giant
氦气,helium
好莱坞,Hollywood
出现,appeared
共谋者,conspirators
出口,outlets
娱乐,entertainment
椽木,rafters
车库,garage
参考,reference
触击,struck
宣传,Publicity
防护,Protective
经济,Economy
难以置信,Incredible
无人,Unmanned
吉尼斯,Guinness
广告,ADVERTISEMENT
登广告者,ADVERTISER
期中考,Midterms
大学,University
归乡,homecoming
胜利,victory
认可,sanctioned
证人,witnesses
辨认,identified
医院,hospital
极悲痛,heartbroken
被毁坏,devastated
故乡,hometown
队友,teammates
运动员,athletes
封锁,cordoned
谨慎,cautious
动员,mobilize
几年,multiyear
启发,inspire
志愿主义,volunteerism
情节主线,plotline
志愿,volunteering
史无前例,unprecedented
一周之间,weeklong
致力,devote
统计,Statistics
志愿者,volunteer
衰落,declines
特别,particularly
公告,announcements
观众,Audiences
段,segments
名人,celebrities
志愿者,volunteers
退伍军人,veterans
绝望,Desperate
主妇,Housewives
斥责,snubbed
保密性,Privacy
推荐,recommend
意大利语,Italian
土豆,Potato
食谱,recipe
每年,annual
喜剧,Comedy
节日,Festival
烘烤,Roast
厨房,kitchen
餐馆老板,restaurateur
车辆后档板,Tailgates
网络,Network
专门研究,specializes
车辆后档板,tailgate
成份,Ingredients
土豆,potatoes
葱,onion
芹菜,celery
茎,stalks
砍,chopped
切片,slices
盎司,ounces
粉碎,crumbled
排泄,drained
粗糙地,coarsely
荷兰芹,parsley
茶匙,teaspoons
香芹籽,caraway
大汤匙,tablespoons
醋,vinegar
芥末,mustard
茶匙,teaspoon
胡椒,pepper
平底深锅,saucepan
流失,Drain
橡胶,rubber
混合物,mixture
抛,toss
冰箱,refrigerator
致冷机,cooler
胡椒,peppers
罪行,Crimes
神奇,Mysterious
爆炸,Explosion
巴基斯坦,Pakistani
有罪,Guilty
投资,Investment
女性,Feminine
奥妙,Mystique
活动家,activist
解放,liberation
显要,influential
非小说类作品,nonfiction
世纪,century
女权主义者,feminists
不同意,disagree
智力,intellectual
律师,lawyers
抚养,rearing
社会,society
宣称,declare
伊利诺伊,Illinois
珠宝商,jeweler
伯克利,Berkeley
显然地,apparently
遣散,dismissed
独立,independent
主妇,homemakers
聪明,intelligent
身分,identity
遭受,suffered
感觉,feelings
情感,emotional
传统上,traditionally
医学,medicine
工程学,engineering
不满情绪,dissatisfaction
少数,minorities
建立,establish
竞选,campaigns
怀孕,pregnancies
示范,demonstration
示范,Demonstrations
周年纪念,anniversary
平等,Equality
不倦地,tirelessly
批准,approve
宪法,Constitution
代表,Representatives
立法机关,legislatures
失败,defeat
情况,condition
谴责,denounced
情况,conditions
喷泉,Fountain
遣散,dismisses
认出,Recognizes
社区,communities
结构,structures
经济学家,Economists
市场,markets
治理,governed
布鲁明屯,Bloomington
归属,ownership
过度使用,overuse
教授,professor
建议,suggests
二者之一,either
资源,resources
生态学家,Ecologist
悲剧,tragedy
共同性,commons
变小,lessen
加深,deepened
记录,documented
森林,forest
绝对,absolutely
可变物,variables
复杂,complex
理论,theory
公司,companies
供应商,suppliers
生产,production
高效率,efficient
诺贝尔,Nobel
经济,Economics
社会上,Socially
全世界,worldwide
阶段,stage
不公道,injustices
十九,nineteen
七十,seventies
音乐家,musicians
神志清楚,conscious
艺术家,artists
室外,outdoor
霹雳舞,breakdancing
执行者,performers
讲故事者,storytellers
转盘,turntable
邻里,neighborhood
恩戈莱坞德,Englewood
奇迹,Wonder
汉克,Hank
七十,seventy
九,nine
八十,eighty
生产商,producer
交谈者,rappers
忽略,ignored
请求,requests
冲突,conflicts
政治,politics
种族主义,racism
影响,influenced
考虑,considered
塞内加尔语,Senegalese
音乐家,musician
塞内加尔,Senegal
讲话,speeches
饶恕,forgiveness
经验,experiences
菲律宾,Philippines
80,eighties
90,nineties
不可靠,insecurity
路透社,Reuters
生活方式,Lifestyle
播客,Podcasts
改革,reform
漂浮,buoyed
分析员,analysts
燃点,flashpoint
自由主义者,liberals
投入,putting
失败者,losers
优胜者,winners
伸手可及的距离,reaches
通过,through
健康,health
同意,agreeing
政府,government
十亿,billion
胜过,outperforms
代表,Representative
选择,choices
倾向,favored
接管,takeover
发射,launch
星期三,Wednesday
谈判,negotiated
医院,hospitals
温和派,moderates
包括,inclusion
马勒,reins
调控,regulates
承保人,insurers
房间,chambers
争斗,battles
决定,decisions
表明,indicated
估计,estimated
原始,original
投资者,investors
KPMG,KPMG
山顶,Summit
购屋者,homebuyer
圣诞节,Christmas
状态,state
代办处  ,agencies
关塔那摩,Guantanamo
维吾尔,Uighurs
医疗,Medical
故事,stories
交付,delivered
天气,Weather
顾客,Customer
重印,Reprints
财宝,Treasury
住房,housing
天花板,ceiling
天花板,ceiling
星期一,Monday
沮丧,depressed
借用,borrow
宣布,announced
转淡,downturn
建筑师,homebuilder
情绪,sentiment
财务,financing
高压封锁,gridlock
描述,Described
主办,sponsored
巨人,giants
Fannie,Fannie
Freddie,Freddie
购买,purchased
否则,otherwise
借户,borrowers
震央,epicenter
危机,crisis
支持,bolstered
11月,November
会议,conference
记者,reporters
下降,declined
付得起,affordable
抵押,mortgages
修复,rehabilitation
发行,issuance
合格,eligibility
纳税人,taxpayers
提供经费,financed
授予,granted
年年,annually
当局,Authority
12月,December
大块,bulk
债券,bond
债券,bonds
保人,guarantor
广播电台,newsroom
人类学家,anthropologist
人类学家,anthropologist
国教徒,Anglicans
增强,intensifies
展望,forecasts
多数人,majority
手册 ,Handbook
声明 ,Disclaimer
平台,platforms
新闻工作者,journalists
透露,disclosure
相关,relevant
产品,Products
坚持,persist
延迟,delays
影响,affecting
不均衡地,disproportionately
低估,underestimating
发生,occurring
传染,infections
混淆,confusing
流行性感冒,influenza
诊断,diagnosed
病症,illness
症状,symptoms
疼痛,sore
咳嗽,cough
喉头,throat
热病,fever
疼痛,aches
季节性,seasonal
Schuchat,Schuchat
普通,Ordinary
链球菌,streptococcus
接种,vaccinate
疫苗,vaccines
制造商,manufacturers
批准,approved
接口,interfaces
变换,transforming
赋予生命,animating
作用,Effects
电影,cinematic
弯机,Bender
数学,mathematical
印刷术,typography
延伸性,extensible
印刷,typographic
多语种,multilingual
应用,applications
转动,rotated
组分,components
顺序器,sequencers
想象者,visualizers
三角,triangle
加速度,acceleration
杠杆作用,Leverage
Speex,Speex
roundtripping,roundtripping
目的地,destinations
更正,correction
要求,requirements
资料表,Datasheet
扫视,glance
允许,Permissions
商标,trademarks
合并,Incorporated
符号化,signifies
协议,agreements
发现,Discover
局,inning
星期二,Tuesday
分心,distractions
分心,distraction
棒球,baseball
美国人,Yankees
日程表,Schedule
Silverman,Silverman
季后,postseason
美国人,Yankee
确实地,strictly
吓唬,frighten
捣毁,smashed
本垒打,homer
冠军,Championship
消失,disappear
引导,guiding
本垒打,homers
10月,October
同盟,leagues
强调,emphatic
不定,uncertain
凄惨地,miserably
一定,certainly
优越,superior
清洁,cleanup
击球手,hitter
外科地,surgically
跛行,hobbled
可怕,fearsome
威逼,intimidating
打击,batting
猛烈,violent
休息,rested
倾斜,leaned
笼子,cage
窃取,steals
选定,designated
疾走,scampered
专业,specialty
快球,fastball
摇摆,swinging
无疑地,undoubtedly
星期四,Thursday
卓越,remarkable
编辑,edition
直接,straight
泽西,jerseys
齿轮,gear
数学,Mathematics
中东,Mideast
贡献者,Contributor
记数器,Register
科学家,scientists
勘测,Survey
Calif,Calif
蹲下,crouched
倾吐,poured
同事,colleague
野火,wildfire
研究员,researchers
溢出,spilled
桌面,tabletop
自然地,naturally
拂去灰尘,dusted
烧焦,charred
manzanita,manzanita
树桩,stumps
拖拉,hauling
测量仪,gauges
传感器,sensors
太阳,solar
供给动力,powered
设备,equipment
勘测,surveying
三脚架,tripod
分类,assorted
杆,poles
钳位,clamps
缆绳,cables
钻子,drills
电池,batteries
水泥,cement
地质,geological
危险,hazards
监视,monitoring
破坏性,destructive
洪流,torrent
剥去,denuded
泥流,mudslide
南部,Southern
野火,wildfires
不可避免,inevitable
泥流,mudslides
山崩,landslides
高速公路,Highway
山坡,hillside
台风,typhoons
村庄,villages
普遍,widespread
中断,disruption
通行费,toll
降雨量,rainfall
拆毁,demolishing
地方,regionally
灾害,disasters
次要,secondary
副产物,byproducts
浩劫,catastrophes
地方化,localized
崩溃,collapse
达翰姆,Durham
难以置信地,incredibly
不足,poorly
展示,demonstrate
评估,assessment
预测,forecasting
不确切,inexact
居住于,populated
基础,foundation
绑架,kidnapped
爆炸,explosions
化合物,compound
投出,hurtled
俘虏,captive
塔里班,Taliban
往事,recollections
同事,colleagues
塑料,plastic
垂悬,hung
破布条,tatters
阿富汗人,Afghans
愤怒,fury
导弹,missiles
磨灭,obliterated
十二个,Dozens
切细,shredded
外部,exterior
3月,March
寄生虫,drones
害怕,terrifying
驾驶,piloted
数,several
牺牲,immolated
可信度,credibility
囚犯,prisoner
抓住,clutched
急切地,anxiously
部落成员,tribesmen
背诵,recited
 t  ,station
 无盖货车  ,wagon
 默默地  ,silently
 安静  ,calm
 无罪  ,innocence
 无罪  ,innocence
 安心  ,relief
 坟墓  ,grave
 俘虏  ,captors
 Waziristan  ,Waziristan
 否决  ,overruled
 礼节地  ,ritually
 妨害  ,hindered
 夸大  ,exaggerating
 伤亡  ,casualties
 通知者  ,informants
 交代  ,confessed
 取出内脏  ,disemboweled
 杀头  ,decapitated
 最粗暴  ,crudest
 居住  ,inhabited
 蚤  ,fleas
 频繁  ,frequent
 寒冷  ,frigid
 凄惨  ,miserable
 处罚  ,punishment
 抵抗  ,Resistance
 老年痴呆  ,Dementia
 俯视  ,Overlooking
 看家狗  ,Watchdog
 生物  ,Creatures
 珊瑚  ,Coral
 不适当  ,Inappropriate
 有力地  ,vigorously
 辩论  ,debating
 方向  ,direction
 憎恨  ,Despite
 距离  ,Distance
 忽略  ,Ignoring
 院  ,Academics
 汽车  ,Automobiles
 更正  ,Corrections
 轰炸机  ,bombers
 军队  ,army
 伊斯兰堡  ,Islamabad
 机关  ,institutions
 部  ,Ministry
 教育  ,Education
 管理  ,administrations
 内部  ,Interior
 轰炸  ,bombing
 召唤  ,summoned
 伊斯兰教  ,Islamic
 极端分子  ,extremists
 蔓延  ,sprawling
 自助食堂  ,cafeteria
 旅舍  ,hostel
 多山  ,mountainous
 jihadist  ,jihadist
 恐怖分子  ,terrorist
 触发  ,triggered
 报复  ,retaliatory
 战士  ,soldiers
 帐户  ,Accounts
