あいかわらず,相変わらず
とどうふけん,都道府県
ぐんま,群馬
Cycling,サイクリング
しんりょく,新緑
Menu,メニュー
曼谷,バンコク
Soccer,サッカー
Black,ブラック
South.Dakota,サウスダコタ
あいけん,愛犬
こうざ,講座
Tower,タワー
Glass,グラス
たいない,体内
Timely,タイムリー
げんがく,減額
Badminton,バドミントン
ねんりつ,年率
しょうむ,商務
えきびょう,疫病
ねさげ,値下げ
さいたま,埼玉
とうほく,東北
しょにち,初日
けいはん,京阪
May.Day,メーデー
かいこ,解雇
とうきょう,東京
ないてい,内定
ふしん,不信
ろうきょう,労協
ろうれん,労連
护目镜,ゴーグル
さんじ,参事
とうじょう,搭乗
Cancel,キャンセル
Counter,カウンター
Digital,デジタル
せいぎょ,制御
にんしょう,認証
にんか,認可
Interview,インタビュー
しない,市内
じゅうとく,重篤
すうじつ,数日
たいき,待機
てっかい,撤回
しゃざい,謝罪
だんどう,弾道
ちょうはつ,挑発
ひどう,非道
ふほう,不法
じりき,自力
のうしゅく,濃縮
めいげん,明言
いんしょく,飲食
Pyramid,ピラミッド
ひっとう,筆頭
かぶぬし,株主
きょしゅつ,拠出
じんけん,人件
Washington,ワシントン
じんけん,人権
Message,メッセージ
まんしつ,満室
きつえん,喫煙
とくてん,特典
へいよう,併用
ちょうしょく,朝食
Welcome,ウエルカム
Drink,ドリンク
Diamond,ダイヤモンド
白金,プラチナ
FLYERS,フライヤーズ
Early,アーリー
Late,レイト
Convenience.store,コンビニ
Broadband,ブロードバンド
Personal.computer,パソコン
かいみん,快眠
Program,プログラム
びこう,備考
しょうしゅう,消臭
おきゃくさま,お客様
Health,ヘルス
Fitness,フィットネス
Mileage,マイレージ
ほんど,本土
ちゃくじつ,着実
みなさま,皆様
かでん,家電
こくむ,国務
つうしょう,通商
ゆうりょ,憂慮
ふっき,復帰
比利时,ベルギー
きんしん,謹慎
たんてい,探偵
こうばん,降板
ちんしゃ,陳謝
どくぜつ,毒舌
ながねん,長年
まんしん,慢心
わげい,話芸
しゃくめい,釈明
あさひ,朝日
Listener,リスナー
Production,プロダクション
おくそく,憶測
Live,ライブ
はいしん,配信
Solution,ソリューション
Install,インストール
Tiger,タイガー
Stars,スターズ
Bit.rate,ビットレート
へんせい,編成
ひょうご,兵庫
せんぽう,先鋒
ほうき,蜂起
きし,騎士
けんこん,乾坤
じゅうだん,銃弾
へんぼう,変貌
せんじょう,戦場
げきせん,激戦
きょうい,脅威
ぜつめい,絶命
きゅうち,窮地
がくえん,学園
ちょくぞく,直属
ふううん,風雲
えいこう,栄光
あくむ,悪夢
げんかく,幻覚
へいあん,平安
がいか,崖下
こくひょう,酷評
ようだい,容態
ゆうごう,融合
ちょうこう,兆候
きづかい,気遣い
すがお,素顔
おいて,追手
あんやく,暗躍
Download,ダウンロード
Rental,レンタル
Contents,コンテンツ
Idle,アイドル
Music,ミュージック
Relaxation,リラクゼーション
Variety,バラエティ
Adult,アダルト
じょうじ,常時
はんぎゃく,反逆
ほうだい,放題
きそう,奇想
かいめつ,壊滅
ひんし,瀕死
ろうば,老婆
てきし,敵視
きょじゅう,巨獣
ひでり,日照り
ぶぞく,部族
しゅくてき,宿敵
せんぷく,潜伏
けいこく,渓谷
きぜつ,気絶
ようじょ,幼女
みつりん,密林
どうくつ,洞窟
かりば,狩場
だっかい,奪回
しゅりょう,首領
こうせん,交戦
しょくりょう,食料
げきとつ,激突
きょうだい,姉弟
そうぐう,遭遇
おうせん,応戦
かせい,加勢
げきたい,撃退
ておい,手負い
しとう,死闘
こおう,呼応
よちょう,予兆
へんしん,変身
こうりゅう,拘留
さんげき,惨劇
たいりょう,大量
ろうじょう,籠城
じゅうしょう,重傷
はいきょ,廃墟
ふくしゅう,復讐
そげき,狙撃
ようしょう,幼少
しんぷ,神父
かこく,過酷
ようしゃ,容赦
ようさい,要塞
あやつり,操り
くせん,苦戦
ぐんしゅう,群衆
げんきょう,元凶
けつらく,欠落
もくもく,黙々
帕拉丁,パラディン
ぼうそう,暴走
くうぐん,空軍
しゅうしゅう,収拾
しゅつげき,出撃
かたきうち,敵討ち
ぐんだん,軍団
たいじ,対峙
ぎんが,銀河
しょせん,初戦
あんしょう,暗礁
Media,メディア
Times,タイムズ
Street,ストリート
Journal,ジャーナル
かいざい,介在
はいえき,廃液
はいかん,配管
Trouble,トラブル
きはく,希薄
かいこく,開国
ばくまつ,幕末
きそん,既存
そうちょう,早朝
さいてん,祭典
らいこう,来航
きかい,機械
はくりょく,迫力
さつりく,殺戮
ついげき,追撃
かくせい,覚醒
ぎそう,偽装
じょうか,浄化
ばくげき,爆撃
しゅうまつ,終末
ちゅうにゅう,注入
さいご,最期
ちじょう,地上
けっし,決死
こっこく,刻々
Series,シリーズ
くうぼ,空母
そんぼう,存亡
じゅうこう,重厚
ぜっさん,絶賛
しょくみん,植民
むほん,謀反
とつにゅう,突入
Colony,コロニー
かんちょう,艦長
たいえき,退役
はつれい,発令
きしゅう,奇襲
げきつい,撃墜
むじつ,無実
Spy,スパイ
したて,仕立て
せんだん,船団
みしらぬ,見知らぬ
Jump,ジャンプ
なんど,何度
ふみん,不眠
ふきゅう,不休
おびえて,脅えて
ちょすい,貯水
たんさ,探査
かんき,歓喜
さいしゅ,採取
ごそう,護送
しゅうじん,囚人
てんぷく,転覆
たばかった,謀った
かくのう,格納
Pilot,パイロット
さんじ,惨事
きょうかん,教官
てっき,敵機
かんたい,艦隊
きゅうしゅつ,救出
でんき,電機
はいかい,徘徊
たんち,探知
ぼうとく,冒涜
Number,ナンバー
ふうぼう,風貌
せいさく,製作
おちいって,陥って
たいきゃく,退却
きかん,帰還
くりかえし,繰り返し
ちょうたつ,調達
しさい,司祭
あって,遭って
そむいて,背いて
せいあつ,制圧
ぼかん,母艦
てんばい,転売
かたく,家宅
めいぎ,名義
みもと,身元
みつばい,密売
やくぶつ,薬物
はっかく,発覚
きょうじゅつ,供述
りんじょう,臨場
こんじょう,根性
どうり,道理
Connection,コネクション
したい,肢体
のうさつ,悩殺
せっしゃ,接写
しつかん,質感
こひも,小紐
あおぞら,青空
じゅんぱく,純白
はつこい,初恋
かんてつ,貫徹
こぐん,孤軍
ごうきゅう,号泣
ひっし,必至
たいげん,体現
かつろ,活路
こうちゃく,膠着
はくしょ,白書
ひっけん,必見
しめい,指名
とうばつ,討伐
じがい,自害
さいりょう,裁量
Access,アクセス
もとづく,基づく
つうじて,通じて
ふじょう,不浄
きょうと,教徒
そっこく,即刻
Muslim,ムスリム
どうほう,同胞
宣传单,チラシ
Ideologie,イデオロギー
Strike,ストライキ
せんどう,扇動
おんけん,穏健
ごうほう,合法
ようにん,容認
Working,ワーキング
いけがみ,池上
いそご,磯子
そうげい,送迎
てんじょう,添乗
おおた,大田
Pandemic,パンデミック
Video,ビデオ
ずが,図画
すぎなみ,杉並
Arab,アラブ
てきはつ,摘発
かんばい,完売
かほう,下方
せいちょう,成長
じてん,時点
せいせん,生鮮
たかね,高値
よりつき,寄り付き
こうかん,好感
そこいれ,底入れ
めいがら,銘柄
きちょう,基調
はんめん,半面
きゅうらく,急落
さいあく,最悪
うきぼり,浮き彫り
とりけし,取り消し
そうりょく,総力
そなえた,備えた
ぜんすう,全数
Sample,サンプル
きゅうこう,休校
不列颠哥伦比亚,ブリティッシュコロンビア
维多利亚,ビクトリア
ぶんじょう,分乗
Design,デザイン
Monster,モンスター
Pachislot,パチスロ
老虎机,パチンコ
げんせん,厳選
げきやす,激安
On.demand,オンデマンド
Documentary,ドキュメンタリー
しゅぎょく,珠玉
かんこう,敢行
World,ワールド
Travel,トラベル
School,スクール
Golf,ゴルフ
ひでん,秘伝
Map,マップ
おぼれて,溺れて
Special,スペシャル
いっきょ,一挙
ようせい,陽性
かいせき,解析
どたんば,土壇場
けつれつ,決裂
とくがわ,徳川
かしん,家臣
しょうぐん,将軍
おどして,脅して
あつめられ,集められ
だまし,騙し
あらわれる,現れる
かいしめ,買占め
がっしゅく,合宿
たいせん,対戦
はっしょう,発症
ざいせき,在籍
みめい,未明
つげた,告げた
かけつけ,駆け付け
こうちょう,校長
おどろいて,驚いて
いんそつ,引率
もんしん,問診
せっこつ,接骨
たんにん,担任
きょうゆ,教諭
うたがわれ,疑われ
くずさず,崩さず
みなとく,港区
ほりゅう,保留
しゃくほう,釈放
でいすい,泥酔
いんめつ,隠滅
とよた,豊田
こはん,湖畔
Habor,ハーバー
こめん,湖面
りくろ,陸路
ゆだねられ,委ねられ
じゅしん,受診
とどけで,届出
とうぜん,当然
しっしょく,失職
さいど,再度
みんい,民意
りゃくしき,略式
汉城,ソウル
どうじょう,同乗
にじ,二次
しんしゅ,新種
Walking,ウォーキング
いぞく,遺族
Management,マネジメント
Champion,チャンピオン
Open,オープン
こうし,行使
こうき,好奇
もぞう,模造
にせさつ,偽札
おおいた,大分
おおの,大野
すいなん,水難
こてい,湖底
しずんで,沈んで
ぼうさい,防災
けんむ,兼務
ひっけい,必携
Book,ブック
Mark,マーク
Peak,ピーク
ねんまく,粘膜
めぐすり,目薬
けいこう,携行
せいぶ,西部
とうぶ,東部
安大略,オンタリオ
徳国,ドイツ
奥地利,オーストリア
荷兰,オランダ
瑞士,スイス
しんしゃ,新車
したまわる,下回る
だいすう,台数
どうげつ,同月
はいしゃ,廃車
しゃしゅ,車種
Track,トラック
ほしゅう,補修
てがけて,手掛けて
にっけい,日経
ぞくしん,続伸
ごば,後場
しゅうばん,終盤
Rocket,ロケット
あっせん,斡旋
ほしゃく,保釈
Plugin,プラグイン
Text,テキスト
Manual,マニュアル
Document,ドキュメント
Help,ヘルプ
じゅんじ,順次
けんちょう,堅調
さきもの,先物
しゅりょく,主力
あさがた,朝方
しひょう,指標
がいさん,概算
Science,サイエンス
Gadget,ガジェット
みつもり,見積
Bike,バイク
Premium,プレミアム
いっぴん,逸品
てんしょく,転職
とうち,当地
しょくざい,食材
とくせつ,特設
とうさい,搭載
Creative,クリエイティブ
Report,レポート
Review,レビュー
How-to,ハウツー
Release,リリース
けいりょう,軽量
Body,ボディ
Slim,スリム
ぎょうしゅく,凝縮
がしつ,画質
かそう,仮想
Support,サポート
しゅうはすう,周波数
Tool,ツール
どうこん,同梱
Version,バージョン
Leader,リーダー
ぶんき,分岐
File,ファイル
Security,セキュリティ
Update,アップデート
Disk,ディスク
Signal,シグナル
Family,ファミリ
Energy,エネルギー
Cost,コスト
しゅっか,出荷
Micro,マイクロ
Processor,プロセッサ
Dual,デュアル
Engine,エンジン
さんじゅつ,算術
きどう,起動
Motor,モータ
へんかん,変換
Component,コンポーネント
Comparator,コンパレータ
しゅつりょく,出力
Demonstration,デモンストレーション
Reference,リファレンス
もちいて,用いて
とりこみ,取り組み
Approach,アプローチ
Private,プライベート
たがく,多額
Maintenance,メンテナンス
れんか,廉価
Scalable,スケーラブル
そくじ,即時
Upgrade,アップグレード
Hosting,ホスティング
Innovation,イノベーション
Deploy,デプロイ
たいじ,胎児
じゅたい,受胎
Reaction,リアクション
X線,レントゲン
しゅよう,腫瘍
せいき,性器
すいい,推移
きょくめん,局面
えんだか,円高
えんやす,円安
うわね,上値
したね,下値
せんざい,潜在
Africa,アフリカ
Stress,ストレス
こんや,今夜
しゅうかん,週刊
Binary,バイナリー
Option,オプション
へんい,変異
かいほう,快方
さいたん,最短
ぎじ,疑似
温哥华,バンクーバー
ざいたく,在宅
りくじょう,陸上
もより,最寄り
いんせい,陰性
とうよ,投与
のうこう,濃厚
しゅうじゅ,収受
そうちゃく,装着
わりびき,割引
とだ,戸田
かんえつ,関越
いせさき,伊勢崎
いしゃ,慰謝
坚决,きっぱり
せんぎょう,専業
がくぎょう,学業
きれい,綺麗
くしょう,苦笑
ちゅうにく,中肉
ちゅうぜい,中背
Timing,タイミング
きゃくしつ,客室
ふりん,不倫
　せっきょう,説教
Edition,エディション
Remote,リモート
Streaming,ストリーミング
Printer,プリンタ
Beta,ベータ
つうさん,通算
正好,ぴったり
いそいで,急いで
すわって,座って
せいご,生後
西雅图,シアトル
よこた,横田
ぜんはん,前半
しきょく,支局
ねらわれ,狙われ
げんぽう,減俸
ごほう,誤報
やくいん,役員
こうほう,広報
みと,水戸
きゅうめい,究明
すみだ,墨田
くらまえ,蔵前
おかやま,岡山
Singapore,シンガポール
いきさき,行き先
英国,イギリス
じんいん,人員
からみ,絡み
よそって,装って
ちけん,地検
じゅり,受理
くぐって,潜って
きゅうめい,救命
どうい,胴衣
すいしん,水深
けんたい,検体
ちょうせん,朝鮮
にちべい,日米
きんみつ,緊密
じんどう,人道
わくぐみ,枠組み
俄罗斯,ロシア
にゅうこう,入港
よぎ,余儀
きょうさん,共産
ひじょう,非情
ゆうけん,有権
ふそく,不測
かくぎ,閣議
きよう,起用
Atlanta,アトランタ
沙特阿拉伯,サウジアラビア
ぶちょう,部長
全部,そろって
こうさく,交錯
はこばれ,運ばれ
のりこみ,乗り込み
Boston,ボストン
ずせつ,図説
やまがた,山形
えひめ,愛媛
びょうしょう,病床
ひさん,飛散
しまね,島根
Reasonable,リーズナブル
かくやす,格安
なす,那須
Garden,ガーデン
Outlet,アウトレット
しゅうどう,修道
せんげつ,先月
ひらつか,平塚
たんとう,短刀
かんきん,監禁
よざい,余罪
ろてん,露店
はこだて,函館
まんかい,満開
Volunteer,ボランティア
あさひがわ,旭川
ごりょうかく,五稜郭
めぐまれ,恵まれ
まんせき,満席
Miracle,ミラクル
Smash,スマッシュ
Forehand,フォアハンド
Straight,ストレート
だっしゅ,奪取
かんきゅう,緩急
すばやく,素早く
Serve,サーブ
Rank,ランク
ごりん,五輪
Medal,メダル
しんしょう,辛勝
Receive,レシーブ
せいえん,声援
さんせん,参戦
ちかった,誓った
San.Francisco,サンフランシスコ
みたか,三鷹
ひょうめい,表明
しゅうしゅく,収縮
かごしま,鹿児島
きりしま,霧島
Ireland,アイルランド
おそわれ,襲われ
はだの,秦野
Helmet,ヘルメット
Scooter,スクーター
てんとう,転倒
摩托车,オートバイ
Zigzag,ジグザグ
ころび,転び
せいよう,静養
さんさく,散策
うつのみや,宇都宮
くないちょう,宮内庁
こうたいし,皇太子
はいえん,肺炎
いちのせき,一関
しょほう,処方
かつしか,葛飾
じこう,時効
ほうむ,法務
きょうあく,凶悪
かんじ,幹事
ちよだ,千代田
きぐ,危惧
ゆうわ,融和
ぜいせい,税制
きょくとう,極東
ぜいりつ,税率
こうめい,公明
とぎ,都議
Thema,テーマ
あやまった,誤った
へいねつ,平熱
おさまって,収まって
けんじゅう,拳銃
きどう,機動
かんさつ,監察
すわ,諏訪
じつだん,実弾
けいせき,形跡
ぎょこう,漁港
ぼうはてい,防波堤
おおつち,大槌
べつじょう,別条
U-turn,Ｕターン
じょういん,乗員
こうはん,後半
Brake,ブレーキ
じょうげん,上限
U-turn,Uターン
さがみ,相模
まんしゃ,満車
Change,チェンジ
Tunnel,トンネル
こぼとけ,小仏
Area,エリア
默克尔,メルケル
りょうこく,両国
さだめがき,定書
きうん,機運
はいぜつ,廃絶
厄瓜多尔,エルサルバドル
葡萄牙,ポルトガル
Colombia,コロンビア
马萨诸塞州,マサチューセッツ
卡梅伦,キャメロン
こんしゅう,今週
まんせい,慢性
あらわれて,現れて
夏威夷,ハワイ
Lobby,ロビー
とうなん,東南
ひろしま,広島
かめい,加盟
らいねん,来年
はっけつびょう,白血病
みちすじ,道筋
いげん,遺言
しんたく,信託
けんすう,件数
こうれい,高齢
がいし,外資
Banking,バンキング
Consumer,コンシューマー
塔利班,タリバン
くうばく,空爆
そうほう,双方
せんきょ,占拠
ちゅうりゅう,駐留
ごばく,誤爆
ごしゃ,誤射
きゅうぞう,急増
へいりょく,兵力
ぞうは,増派
はんべい,反米
土耳其,トルコ
じゅうげき,銃撃
そんちょう,村長
なにもの,何者
ないむ,内務
しょうじゅう,小銃
Subprime,サブプライム
おちこみ,落ち込み
ねんらい,年内
かいぐん,海軍
いかん,遺憾
けいてき,警笛
こうこう,航行
こうかい,公海
公共,おおやけ
不管,かかわらず
根据,によりますと
おこなわれて,行われて
ほうすい,放水
かくてい,画定
けんえき,権益
しょこく,諸国
しょとう,諸島
ぶきょく,部局
たいこく,大国
がいよう,概要
ほうだん,砲弾
たいせい,耐性
ふみきる,踏み切る
ふゆば,冬場
おうせい,王制
尼泊尔,ネパール
りくぐん,陸軍
さんぼう,参謀
じい,辞意
だとう,打倒
べっきょ,別居
Synchronize,シンクロナイズ
Duet,デュエット
こばやし,小林
Swimming,スイミング
しゅもく,種目
みだれ,乱れ
Routine,ルーティン
Technical,テクニカル
よしい,吉井
Junior,ジュニア
よせん,予選
ごうかい,豪快
Shot,ショット
ぞんぶん,存分
まんぱい,満杯
しらかわ,白川
ぎふ,岐阜
ちかば,近場
なかみなと,那珂湊
ぎょかい,魚介
Corner,コーナー
こうとう,高騰
せいさ,精査
羚羊,カモシカ
ふちゅう,婦中
かわら,河原
こうろうしょう,厚労省
ざいじゅう,在住
おさまって,治まって
Humboldt,フンボルト
Speech,スピーチ
ゆうしき,有識
しったい,失態
Journalism,ジャーナリズム
斯洛伐克捷克共和国,チェコスロバキア
Chance,チャンス
がいゆう,外遊
つうこん,痛恨
せんしゅう,先週
ぜんしょう,全焼
しゅっか,出火
あいおい,相生
へきなん,碧南
はとやま,鳩山
ねんとう,念頭
きゅうじつ,休日
へんじょう,返上
いたみ,伊丹
きょうと,京都
ぜんべい,全米
こんばん,今晩
そうばん,早晩
ふざん,釜山
こうのす,鴻巣
とうけん,刀剣
じんれつ,陣列
へいてん,閉店
つくば,筑波
みやけ,三宅
おうてん,横転
Junction,ジャンクション
じにん,自任
まちうけ,待ち受け
じひつ,自筆
こうてん,好転
こうたい,交代
Australia,オーストラリア
おんせい,音声
ちょうかん,朝刊
Mainstream,メインストリーム
ねんがく,年額
しんき,新規
ごかん,互換
Driver,ドライバ
やくちゅう,訳注
せんじゅつ,先述
Analyst,アナリスト
えびな,海老名
どうしゃ,同社
とうしゃ,当社
Invader,インベーダー
ねあげ,値上げ
どうてい,童貞
まほう,魔法
じょそう,女装
つうしょう,通称
Pajamas,パジャマ
かみぶくろ,紙袋
せいきょう,盛況
きょうしゃ,強者
しかい,視界
あらぎょう,荒行
まんきつ,満喫
Table,テーブル
Hunter,ハンター
Portable,ポータブル
こうりゃく,攻略
かめん,仮面
ぶとう,舞踏
Morocco,モロッコ
へきち,僻地
たつじん,達人
Technic,テクニック
でんじゅ,伝授
はかた,博多
ひわ,秘話
ていへん,底辺
いっぽ,一歩
Southpaw,サウスポー
Rhythm,リズム
よくじつ,翌日
Tissue,ティッシュ
Paper,ペーパー
Muse,ミューズ
じゅんあい,純愛
Mission,ミッション
そうがく,総額
じみんとう,自民党
まいしゅう,毎週
しょうがい,渉外
しょたい,所帯
けいしょう,警鐘
ていこく,帝国
しゅうえん,終焉
たきょく,多極
Chicago,シカゴ
Continental,コンチネンタル
らいしゅう,来週
こくえい,国営
きゅうげん,急減
げんびん,減便
Walt.Disney,ディズニー
Cruise,クルーズ
きこう,寄港
こうてん,好天
ふるさと,古里
れいじ,零時
しゃりょう,車両
ほんぐう,本宮
わかやなぎ,若柳
しんじょう,新庄
かにえ,蟹江
みんか,民家
けいしょう,軽傷
わしつ,和室
タイペイ,台北
ホンコン,香港
せいざい,製剤
ちゅうがい,中外
とっこう,特効
ゆらい,由来
こんげん,根源
ふくつう,腹痛
しょうじる,生じる
まんえん,蔓延
ちゅうぶ,中部
ひとで,人手
すどおり,素通り
かわぐつ,革靴
Sneakers,スニーカー
あしどめ,足止め
Happening,ハプニング
しょうしか,少子
がくふ,学府
Fashion,ファッション
しゅっこう,出向
さやま,狭山
Barbecue,バーベキュー
こうそく,校則
きゃっこう,脚光
しんせつ,新設
こまざわ,駒澤
にゅうし,入試
らくさ,落差
じたい,自体
Literacy,リテラシー
けつじょ,欠如
ちゅうけん,中堅
せってん,接点
ぶんか,文科
りしゅう,履修
そよう,素養
宁愿,むしろ
かんぶん,漢文
こぶん,古文
けいおう,慶應
ぎじゅく,義塾
Campus,キャンパス
Unique,ユニーク
所谓,いわゆる
きゅうしゅう,九州
しばうら,芝浦
ほうせい,法政
こまざわ,駒沢
あらわざ,荒技
かなざわ,金沢
やまわき,山脇
みえ,見栄
とっとり,鳥取
あっとう,圧倒
Circle,サークル
とくちょう,特徴
Drop,ドロップ
Out,アウト
Landing,ランディング
Hard,ハード
ほしゅう,補習
Backup,バックアップ
さんじゅう,三重
Profil,プロフィール
Journalist,ジャーナリスト
さっぽろ,札幌
ほくれい,北嶺
Seminar,ゼミナール
きんちょ,近著
Koala,コアラ
むさしの,武蔵野
ちし,致死
きちじょうじ,吉祥寺
ごうよく,強欲
Fund,ファンド
Hedge,ヘッジ
おうか,謳歌
かせぎ,稼ぎ
けいじょう,計上
まいとし,毎年
ぜんねん,前年
Magazine,マガジン
Ranking,ランキング
Company,カンパニー
Energy,エナジー
ていおう,帝王
いみょう,異名
すうねん,数年
りっしょう,立証
じゅっかい,述懐
ぎゃくばり,逆張り
とうらい,到来
あらなみ,荒波
のりこえる,乗り越える
げんえき,現役
Retire,リタイア
じぜん,慈善
Society,ソサエティー
せんねん,専念
ふるす,古巣
Comeback,カムバック
Bubble,バブル
Manager,マネージャ
Player,プレーヤー
Technology,テクノロジー
かさま,笠間
あおば,青葉
Supporter,サポーター
Stadium,スタジアム
ふくしま,福島
やぶき,矢吹
たまつき,玉突き
にほんまつ,二本松
しどう,市道
じゃこう,蛇行
さこつ,鎖骨
しゅっとう,出頭
たんまつ,端末
Sensational,センセーショナル
しゅい,首位
りょうはん,量販
BASIC,ベーシック
そきゅう,訴求
Style,スタイル
Olympics,オリンピック
とくじゅ,特需
つちうら,土浦
おしいり,押し入り
かんだち,神立
はわたり,刃渡り
Spray,スプレー
つきつけ,突き付け
やきゅう,野球
こんいろ,紺色
Layoff,レイオフ
しっそく,失速
ちゅうし,注視
更多,さらなる
しょくしゅ,職種
ぜんしゃ,全社
Japan,ジャパン
Tablet,タブレット
Device,デバイス
Gap,ギャップ
りょうよう,療養
Personal,パーソナル
Computer,コンピュータ
Mobility,モビリティ
Category,カテゴリ
こわだか,声高
Surfing,サーフィン
あんか,安価
User,ユーザー
Face,フェース
Package,パッケージ
ごこく,護国
ぎょうじ,行司
ふない,府内
ははこ,母子
けんない,県内
あくよう,悪用
つうはん,通販
おうぎょう,横行
てぐち,手口
びんじょう,便乗
とくそう,特捜
はっそう,発送
もくにん,黙認
Direct,ダイレクト
でんき,電器
ふくおか,福岡
あげお,上尾
ほくりく,北陸
口耳相传,口コミ
ふくさき,福崎
わかやま,和歌山
しらはま,白浜
かいすい,海水
はんとし,半年
とうしょう,東証
できだか,出来高
いちだん,一段
Framework,フレームワーク
がぞう,画像
Click,クリック
Movie,ムービー
即,すなわち
くどう,駆動
さくせい,作成
Concept,コンセプト
すいしょう,推奨
Fast,ファースト
Process,プロセス
Address,アドレス
おきかえ,置き換え
好好地,しっかり
Form,フォーム
せんい,遷移
Memory,メモリー
Server,サーバー
Request,リクエスト
Mind,マインド
きんたい,勤怠
ゆうしょう,有償
Session,セッション
Module,モジュール
Vendor,ベンダー
Replication,レプリケーション
Statement,ステートメント
Slave,スレーブ
但是,しかし
どうき,同期
じっそう,実装
Default,デフォルト
Mode,モード
すうち,数値
へんすう,変数
Global,グローバル
だんらく,段落
ついき,追記
Bundle,バンドル
こうがく,高額
じゅんきょ,準拠
Cycle,サイクル
ようけん,要件
Merit,メリット
せんにん,専任
とくちょう,特長
Customer,カスタマ
ようりょう,容量
Dynamic,ダイナミック
Schema,スキーマ
Transactions,トランザクション
Agent,エージェント
Stack,スタック
ていげん,低減
そうにゅう,挿入
めいじ,明示
こうぶん,構文
Column,カラム
Keyword,キーワード
仅仅,わずか
Field,フィールド
Buffer,バッファ
Client,クライアント
ぞっこう,続行
ほじ,保持
かた,過多
えいぞく,永続
せいせい,生成
Command,コマンド
Conflict,コンフリクト
かんすう,関数
Index,インデックス
一个,いずれ
因此,つまり
こうぞく,後続
Garbage,ガーベジ
じょきょ,除去
例如,たとえば
Alias,エイリアス
Comma,カンマ
ばんめ,番目
Scan,スキャン
だいたい,代替
Current,カレント
Dummy,ダミー
しょうじゅん,昇順
さいてき,最適
Synonym,シノニム
Sort,ソート
Set,セット
Optimize,オプティマイザ
Count,カウント
Cash,キャッシュ
Query,クエリ
きじゅん,基準
ひきすう,引数
もどりち,戻り値
Parameter,パラメータ
Host,ホスト
Dump,ダンプ
じょうき,上記
Escape,エスケープ
Procedure,プロシージャ
Archive,アーカイブ
Alpha,アルファ
こうせい,校正
Project,プロジェクト
Directory,ディレクトリ
Entry,エントリ
てんそう,転送
しゃじ,謝辞
かいだく,快諾
Tunneling,トンネリング
そうしん,送信
Handle,ハンドラ
Return,リターン
Format,フォーマット
りょうしゃ,両者
くうはく,空白
かいぎょう,改行
しゅうたん,終端
いんじ,印字
Size,サイズ
かいぞう,解像
ばいすう,倍数
びょうが,描画
Object,オブジェクト
いんえい,陰影
たかくけい,多角形
Kernel,カーネル
Debug,デバッグ
Protocol,プロトコル
ひょうじ,表示
あんもく,暗黙
Flag,フラグ
Packet,パケット
じゅしん,受信
Metrik,メトリック
わりこみ,割り込み
但是,ただし
NO,わけではない
きょうゆう,共有
一些,いくつか
ばいたい,媒体
Transceiver,トランシーバー
Traffic,トラフィック
しょしき,書式
Name,ネーム
ゆうよう,有用
Dot,ドット
OR,もしくは
必须,なければならない
必须,なくてはならない
Local,ローカル
Header,ヘッダー
Fire,ファイヤー
Wall,ウォール
Block,ブロック
Socket,ソケット
よこすかせん,横須賀線
だんせん,断線
General,ゼネラル
ふくらみ,膨らみ
いしかわ,石川
はいき,排気
じじょ,次女
しんしつ,寝室
Gasoline,ガソリン
としま,豊島
ないしきょう,内視鏡
いたばし,板橋
Undefined,undefined
Undefined,undefined
どうじん,同人
はんぷ,頒布
Character,キャラクター
不同,さまざま
むらた,村田
かとう,加藤
どうし,同氏
Market,マーケット
なんきん,軟禁
仰光,ヤンゴン
Ticket,チケット
League,リーグ
Inside,インサイド
さんぴ,賛否
しぶ,支部
きんしん,近親
伊利诺伊,イリノイ
じょうちょう,冗長
すぐれた,優れた
How,いかに
Round,ラウンド
Robin,ロビン
けんち,検知
Daemon,デーモン
因为,なぜなら
ちょっけつ,直結
とだえ,途絶え
さい,差異
つけくわえる,付け加える
再次,あらためて
Loadbalancer,ロードバランサ
すうかい,数回
かようせい,可用性
だいざい,題材
Monitoring,モニタリング
なら,奈良
へきが,壁画
しょうりゅう,青龍
ひがしがわ,東側
こふん,古墳
いしむろ,石室
しゅうふく,修復
ひちょう,飛鳥
ふくげん,復元
にくがん,肉眼
こうせい,後世
びゃっこ,白虎
ぶしょう,武将
かまくら,鎌倉
ばくふ,幕府
おおた,太田
はたあげ,旗揚げ
たいれつ,隊列
はちまき,鉢巻き
なんせい,南西
ごうれい,号令
けいだい,境内
おおさか,大阪
まぬがれた,免れた
そうふ,送付
ほんぽ,本舗
Mail,メール
あおじる,青汁
へんきゃく,返却
わかばやし,若林
くぼた,窪田
じしょう,自称
かしわざき,柏崎
Management,マネージメント
しんし,真摯
至少,少なくとも
すずき,鈴木
しゅうち,周知
ことう,孤島
Survival,サバイバル
いちだん,一団
きょうがく,驚愕
さいきょう,最強
だっそう,脱走
Monitor,モニター
こんだく,混濁
うらぎり,裏切り
おちいった,陥った
Juliet,ジュリエット
Jack,ジャック
もんてい,門弟
たいさん,退散
とくめい,匿名
かながわ,神奈川
さんらん,散乱
しゅうとく,拾得
とうめい,東名
あつぎ,厚木
Argentine,アルゼンチン
にゅうかん,入管
なんみん,難民
ざま,座間
でんじ,電磁
げんぽん,原本
ふじつ,不実
ないえん,内縁
あさか,朝霞
しき,志木
Vinyl,ビニール
Bag,バッグ
ようせつ,溶接
