汉字,词义
段段,逐渐地
団地,开发区
単調,单调
断定,断定
端的,直截了当地
担当,担任
単独,单独
旦那,主人
単に,仅仅
担任,担任
堪能,十分满足
淡泊,清淡
蛋白質,蛋白质
担保,担保
段落,段落
弾力,弹力
談話,谈话
治安,治安
地位,地位
地域,地域
小さい,幼小
小さな,小
知恵,智慧
地下,地下
近い,近
誓う,发誓
違う,不同
近頃,最近
近付く,挨近
近道,近路
力,体力
地球,地球
蓄積,积蓄
地形,地形
遅刻,迟到
知識,知识
地上,地上
知人,熟人
地図,地图
知性,才能
地帯,地带
父,父亲
縮まる,缩小
縮む,变短
縮める,缩小
地中,地下
秩序,秩序
窒息,窒息
知能,智力
血の気,血色
地方,地方
粽,粽子
巷,繁华街
致命,致命
着実,踏实
着手,着手
着席,坐下
着想,立意
茶碗,茶碗
注意,留神
中央,正中间
中学校,中学
中間,中间
中継,中继
中堅,中坚
忠告,忠告
仲裁,仲裁
中止,终止
忠実,忠实于
注射,注射
駐車,停车
中旬,中旬
抽象,抽象
中心,中央
中枢,中枢
抽選,抽签
中断,中断
躊躇,踌躇
中途,半路
中毒,中毒
注目,注目
注文,定做
中立,中立
中流,河中间
中和,中和
調印,签字
超越,超出
超過,超过
朝刊,朝刊
長期,长期
兆候,征兆
聴講,听课
彫刻,雕刻
調査,调查
調子,声调
徴収,征收
長所,优点
長女,长女
嘲笑,嘲笑
頂上,山顶
調整,调整
調節,调节
挑戦,挑战
頂戴,受到
調達,供应
調停,调停
頂点,山顶
ちょうど,正好
挑発,挑衅
重宝,方便
調味,调味
調理,烹调
潮流,潮流
長老,长老
調和,调和
貯金,储蓄
直後,刚……之后
直接,直接
直線,直线
直前,即将……之前
直通,直通
直面,面对
著者,著者
貯蓄,储蓄
直角,直角
直感,直感
直観,直观
直径,直径
直行,直通
ちょっと,一会儿
散らす,撒散
ちらり,一闪
地理,地势
塵,灰尘
治療,治疗
散る,凋谢
賃金,工资
陳情,陈清
賃貸,出租
ちんぷんかんぷん,莫名其妙
沈没,沉没
沈黙,沉默
陳列,陈列
つい,一不小心
追加,追加
追求,追求
追及,追赶
追究,探究
追伸,再者
追跡,追踪
一日,一号
衝立,屏风
就いて,关于
序に,顺便
追突,从后面撞上去
遂に,最后
追放,驱逐
費やす,耗费
墜落,坠落
通,精于
通貨,通货
通過,通过
通学,上学
通勤,上班
通行,通行
通じる,通往
通信,通信
通俗,通俗的
通知,通知
通帳,折子
通訳,口译
通用,通用
通路,过道
通話,通话
杖,拐杖
使う,使用
使える,可以使用
仕える,侍奉
支える,堵
司る，掌る,掌管
尽かす,用尽
束の間,一瞬间
捕まえる,逮捕
捕まる,被逮捕
掴む,拽住
疲れる,疲劳
月,月球
次,下次
付き合う,交际
突き当たる,冲突
付き添う,陪伴
突き出す,推出
突き付ける,摆在眼前
月並み,每月
月日,月亮和太阳
尽きる,用完
付く,附上
突く，衝く,扎
点く,点
就く,就
着く,到达
搗く,捣
接ぐ,连接
継ぐ,继承
机,书桌
尽くす,竭尽全力
つくづく,仔细
償う,赔偿
作る,制作
造る,建造
繕う,缝补
告げ口,告状
漬ける,浸泡
付ける,靠近
点ける,点火
就ける,使就座
着ける,佩带
告げる,让……听
都合,方便
辻,十字路口
伝う,顺
伝える,通知
拙い,拙劣
伝わる,被传递
土,土壤
槌,锤子
培う,栽培
土臭い,土气的
つつく,轻轻地碰
続く,继续
続ける,继续
突っ込む,塞入
謹む，慎む,谨慎
突っ張る,支撑
慎ましい,谦虚
鼓,鼓
包む,包装
綴る,装订
都度,每次
集い,聚集
勤まる,能胜任
勤める,工作
努める,尽力
綱,粗绳
繋がる,连接
繋ぐ,拴
津波,海啸
常,平时
常に,时常
抓る,拧
角,牛
募る,招募
唾,唾液
翼,翅膀
燕,燕子
粒,颗粒
具に，備に,详细
潰す,弄碎
呟く,叽咕
潰れる,倒塌
坪,坪
壺,壶
窄まる,收缩
蕾む,含苞待放
窄める,收缩
妻,妻子
爪先,脚尖
倹しい,节俭
躓く,绊倒
詳らか，審らか,详细地
撮む，抓む，摘まむ,摘
つまらない,无趣
つまり,总之
詰まる,塞满
罪,罪孽
積み替える,倒装
積み重なる,堆积
積み立てる,储蓄
積み荷,货物
詰む,稠密
積む,堆积
摘む,摘取
紡ぐ,纺织
瞑る,闭眼
爪,指甲
詰め込む,塞得满满的
冷たい,寒冷
詰める,装放
積もり,意图
積もる,积
通夜,守灵
艶,光泽
汁,汤
露,露水
梅雨,梅雨
強い,强
強がる,逞强
強気,意志坚决
強火,强火
強まる,强烈起来
強める,加强
面,脸
辛い,难过
連なる,成行
貫く,穿过
連ねる，列ねる,排成一列
釣り合う,平衡
吊り上げる,吊起
吊革,把手
釣具,钓鱼具
釣り銭,找回的钱
吊る,悬挂
釣る,垂钓
鶴,鹤
剣,剑
吊るす,吊起
連れ,同伴
つれない,冷淡
吊れる,吊起来
連れる,带
攣れる,抽筋
出会う,遇见
手足,手脚
出足,来的人的多少
手厚い,热情的
手当,治疗
手編み,手编
手荒い,粗暴
手洗い,厕所
体,样子
低,低
提案,提案
定員,定额
帝王,帝王
低下,降低
定価,定价
停刊,停刊
諦観,审视
定期,定期
提起,提出
定義,定义
低級,低级
定休,定期休息日
提供,提供
提携,协作
締結,缔结
低血圧,低血压
低減,减少
抵抗,抵抗
定刻,正点
体裁,外观
停止,停下
提示,提示
亭主,老板
定住,定居
貞淑,贞节
提出,提出
提唱,提倡
定職,固定职业
定食,套餐
抵触,抵触
泥酔,烂醉
定数,定数
呈する,呈送
訂正,订正
定説,定论
提訴,起诉
低俗,低俗
手痛い,重大的
停滞,停滞
定着,扎根
丁重,郑重其事
停電,停电
程度,程度
丁寧,彬彬有礼
定年,退休年龄
低能,低能
停泊,停泊
定番,常用
定評,定评
底辺,最下层
堤防,堤防
提要,提要
低落,低落
低利,低利息
定理,定理
出入,出入
停留,停留
底流,底流
定量,定量
手入れ,修理
定例,常规
定論,定论
手掛かり,线索
出掛ける,外出
出稼ぎ,外出挣钱
手形,手印
手堅い,坚实的
手紙,书信
手柄,功劳
手軽,简单
敵,敌人
出来,会
溺愛,溺爱
出来上がる,完成
適応,适应
的確,正确
適宜,适当
出来具合,成绩
出来事,事件
適材,适当的人才
敵視,敌视
適時,适时
溺死,溺死
摘出,摘除
適する,适合
適正,适当
適切,恰当
敵対,敌对
出来高,产量
的中,命中
適度,适度
適当,合适
摘発,揭发
出来物,肿物
摘要,摘要
適用,适用
適量,适量
出来る,做好
適齢,适龄
手際,手腕
手口,方法
出口,出口
梃入れ,为了打开困难局面而给予援助或支持
てこずる,不知所措
手応え,手的感觉
凸凹,凹凸不平
手頃,正合手
手先,手指尖
出先,前往的地方
手提,手提袋
弟子,弟子
手品,魔术
出しゃばる,多管闲事
手順,顺序
手数,费事
手隙,有空时
出鱈目,荒唐
手違い,错误
手帳,记事本
鉄,铁
撤回,撤回
哲学,哲学
手付き,手的姿势
撤去,拆掉
鉄筋,钢筋
手作り,手工制作
鉄鉱,铁矿
鉄鋼,钢铁
撤する,刻骨铭心
鉄則,铁的法则
手伝う,帮助
でっち上げる,捏造
手続,手续
徹底,彻底
鉄道,铁路
撤廃,撤销
撤兵,撤兵
鉄棒,铁棒
鉄砲,来福枪
徹夜,彻夜
出所,出所
手取り,纯收入
出直す,再来
手慣れる,熟练
手荷物,随身行李
手抜かり,疏忽
手抜き,偷工
手拭い,毛巾
掌，手のひら,手掌
手配,安排
手羽先,鸡翅膀
手旗,信号旗
手放す,放手
手早い,敏捷
手引き,引路
手拭き,擦手布
手袋,手套
手ぶら,空手
手振り,打手势
手弁当,自己的盒饭
手本,字帖
手間,所费的时间和劳力
手前,这边
手真似,手势
手回し,用手搅
出回る,上市
出店,分店
手土産,简单礼品
出迎える,出迎
出向く,前往
でも,但是
手持ち,手头的
手元,手头
寺,寺庙
衒う,夸耀
照らし合わせる,对照
照らす,照射
照り付ける,暴晒
手料理,亲手做的菜
照る,照射
出る,外出
照照坊主,扫晴娘
照れ臭い,害羞
照れる,害羞
手練手管,花招
手渡す,亲手交给
電圧,电压
転移,转移
天衣無縫,天衣无缝
店員,店员
田園,田地
天下,天下
添加,添加
転化,转变
転嫁,转嫁
点火,点火
殿下,殿下
展開,展开
転回,旋转
天外,天外
天涯,天涯
電解,电解
転換,转变
癲癇,癫痫
天気,天气
転機,转机
伝記,传记
電気,电力
電球,灯泡
転居,迁居
転勤,调动工作
天狗,天狗
天空,天空
典型,模范
点検,检查
電源,电源
典故,典故
点呼,点名
天候,天气
転向,转变
転校,转学
電光,电灯光
篆刻,篆刻
天国,天堂
伝言,传话
天才,天才
天災,天灾
点在,散布
添削,修改
天使,天使
展示,展示
電子,电子
電車,电车
店主,店主
天寿,天年
伝授,传授
天井,天花板
添乗,陪同
伝承,代代相传
天職,神圣职责
転職,改行
転じる,转变
点じる,加批点
転身,改变
点心,电信
天真爛漫,天真烂漫
点数,分数
天性,天性
伝説,传说
点線,虚线
伝染,传染
電線,电线
転送,转投
天体,天体
電卓,台式电子计算机
伝達,传达
恬淡,淡泊
天地,天地
電池,电池
電柱,电线杆
天敵,天敌
点滴,雨点
転転,滚转
店頭,店头
転倒,跌倒
伝統,传统
電灯,电灯
電動,电动
天丼,炸虾盖浇饭
転入,迁来
電熱,电热
天然,天然
天皇,天皇
伝播,流传
電波,电波
天罰,天罚
天引き,预先扣除
伝票,票据
添付,附上
転覆,翻倒
天麩羅,油炸食品
伝聞,传闻
澱粉,淀粉
店舗,店铺
展望,放眼展望
電報,电报
顛末,来龙去脉
点滅,忽亮忽灭
天文,天文
転用,挪用
伝来,传入
転落,跌落
展覧,展览
電流,电流
電力,电力
電路,电路
電話,电话电话
戸,门
問い,提问
問い合わせる,询问
吐息,叹气
問う,问
どう,怎么样
堂,佛堂
同,同
答案,答案
同意,同意
統一,统一
同一,同一
動員,动员
動因,动机
投影,投影
投下,投下
どうか,请
動画,动画
当該,该
等外,等外
導火線,导火线
統轄,统辖
唐辛子,辣椒
同感,同感
冬季,冬季
冬期,冬季期间
投機,投机
陶器,陶器
討議,讨论
動機,动机
同期,同时期
等級,等级
同居,同住
道教,道教
当局,当局
道具,器具
道化,滑稽
峠,山顶
統計,统计
陶芸,陶瓷工艺
凍結,结冰
洞穴,洞穴
登校,上学
投稿,投稿
投合,相投
統合,统一
動向,动向
瞳孔,瞳孔
同行,同行
踏査,实地调查
当座,当时
動作,动作
搭載,装载
東西,东西
倒錯,错乱
盗作,剽窃
倒産,破产
動産,动产
凍死,冻死
投資,投资
透視,透视
闘志,斗志
当時,当时
当事,当事
動詞,动词
同志,同志
同士,同伴
同時,同时
陶磁器,陶瓷器
当日,当天
どうして,怎样
如何しても,务必
党首,党的首脑
投手,棒球投手
同種,同一种类
踏襲,沿袭
当初,当初
投書,投稿
登場,登台
搭乗,搭乘
同情,同情
投じる,投宿
投身,投河
等身,等身
統帥,统帅
陶酔,陶醉
どうせ,反正
統制,统制
動静,动静
同棲,同居
当選,当选
当然,当然
どうぞ,设法
逃走,逃跑
闘争,斗争
同窓,同窗
統率,统帅
淘汰,淘汰
灯台,灯塔
動態,动态
導体,导体
胴体,躯干
到達,到达
統治,统治
到着,抵达
盗聴,窃听
当直,值班
到底,无论如何也
童貞,童贞
道程,路程
動的,活动的
貴い,高贵
尊い,珍贵
滔滔,滔滔
とうとう,终于
堂堂,堂堂
道徳,道德
唐突,唐突
尊ぶ,尊重
東南,东南
盗難,失盗
どうにも,的确
投入,倒入
豆乳,豆浆
導入,引进
当人,本人
党派,党派
同輩,同等身份的人
討伐,讨伐
当番,值班
逃避,逃避
投票,投票
道標,路标
豆腐,豆腐
動物,动物
当分,暂时
答弁,答辩
東方,东方
東奔西走,四处奔走
動脈,动脉
冬眠,冬眠
透明,透明
同盟,同盟
当面,面临
どうも,怎么也
玉蜀黍,玉米
陶冶,陶冶
どうやら,好歹
登用,任用
東洋,东洋
盗用,窃用
動揺,摇晃
同様,一样
童謡,童谣
到来,到来
道楽,嗜好
動乱,动乱
道理,道理
道理で,怪不得
同僚,同事
動力,动力
答礼,还礼
道路,道路
登録,注册
討論,讨论
当惑,为难
童話,童话
遠い,长
十日,十号
遠く,远地
遠ざかる,远离
通す,使……通行
遠出,出远门
遠回し,委婉
遠回り,绕道
通り,街道
通る,通过
科,过错
都会,都市
度外視,置之度外
蜥蜴,蜥蜴
溶かす，融かす解かす,溶解
梳かす,梳
咎める,责备
尖る,尖
時,时间
土器,瓦奇
怒気,怒气
時折,偶尔
どきっと,大吃一惊
時時,时时
どきどき,扑通扑通地跳
時に,有时
ときめく,心脏扑通乱跳
時めく,得志
度胸,胆量
跡切れる,中断
解く,解开
説く,说明
溶く,溶解
得,收益
研ぐ,研磨
退く,让开
毒,毒药
得意,得意洋洋
特異,特异
独学,自学
特技,特殊技能
独裁,独裁
得策,上策
特産,特产
独自,独自
得失,得失
特質,特性
読者,读者
特殊,特殊
特集,专辑
読書,读书
涜職,渎职
特色,特色
独身,独身
得する,占便宜
毒する,毒害
特性,特性
毒舌,刻薄话
独占,独占
独善,自以为是
独創,独创
独奏,独奏
独走,一个人单跑
特種,特讯
独断,独断
特注,特别订购
特徴,特征
特長,优点
特定,特定
得点,得分
独特,独特
毒毒しい,似乎有毒
特に,格外
独白,独白
特別,特别
読本,读本
匿名,匿名
毒薬,毒药
特有,特有
独立,独立
髑髏,骷髅
刺，棘,刺
時計,钟表
溶け込む,融为一体
刺刺しい,带刺
解ける,松了
溶ける，融ける,溶解
熔ける,熔化
遂げる,达到
退ける,挪开
土建,土木建筑的略语
床,床铺
何処,哪儿
怒号,怒吼
床の間,壁龛
床屋,理发店
所　処,地点
ところが,然而
所狭し,满满的
ところで,可是
所々,到处
鶏冠,鸡冠
鎖す，閉ざす,锁
登山,登山
都市,都市
年,年
年上,年长
年越し,除夕
閉じ込める,关在里面
閉じ籠る,闷在
年頃,妙龄
年下,比……年纪小
年玉,压岁钱
年の瀬,年关
土砂降り,倾盆大雨
図書,图书
途上,途上
土壌,土壤
年寄り,老年人
綴じる,订上
閉じる,关
都心,都市中心
途絶，杜絶,中断
塗装,涂漆
土足,穿着鞋
土台,地基
途絶える，跡絶える,中断
戸棚,橱柜
どたばた,啪哒啪哒作响
途端,正当……时候
土壇場,最后关头
土地,土地
土着,土著
途中,路途
どちら,哪儿
読解,阅读理解
どっかり,沉重的样子
突起,突起
特急,特快
特許,特许
疾っく,很久以前
嫁ぐ,出嫁
特訓,特别训练
特権,特权
咄嗟,瞬间
どっさり,很多
突如,突然
どっしり,沉重
突然,忽然
どっち,[どっら]的简慢的说法
どっちつかず,摇摆不定
どっち道,总之
取手,把手
取って置き,珍藏
突入,冲进
突破,突破
突発,突发
どっぷり,蘸满
土手,堤坝
途轍,道理
とても,怎么也
届く,送到
届け出る,申报
届ける,报告
滞る,拖欠
整う,齐整
調う,达到
整える,整理
調える,谈妥
とどのつまり,归根结底
止まる,止于
留まる,停留
止める,止住
留める,留下
轟く,轰鸣
唱える,念诵
称える,称呼
どなた,哪位
隣,邻居
怒鳴る,大声喊
兎に角,总之
どの,哪个
殿様,老爷
賭博,赌博
飛ばす,使……飞
度外れ,异常
飛び交う,纷飞
飛び回る,奔跑
土俵,土袋子
扉,门扉
跳ぶ,跳
飛ぶ,飞
溝,下水道
徒歩,徒步
途方,方法
土木,土木
恍ける，惚ける,迟钝
乏しい,不足
とぼとぼ,疲劳地
土間,房间
戸惑い,困惑
戸惑う,不知所措
止まる,原地不动
留まる,固定住
泊まる,停泊
富む,富裕
弔う,吊唁
留め金，止め金,别扣
止める,使……停下
留める,固定住
泊める,留住
供,随员
友,友人
兎も角,不管怎样
ともすると,常常
ともすれば,常常
共倒れ,两败俱伤
友達,友人
伴う,伴随
共に,一起
共働き,夫妇双方都工作
点る，灯る,点
どもる,口吃
どやどや,吵吵嚷嚷
銅鑼,锣
捕らえる,逮捕
捉える,把握
どら息子,败家子
囚われる，捕らわれる,被俘
鳥，鶏,指鸟类
取り合う,争夺
取り敢えず,急忙
取り上げる,拿起
取り扱う,使用
取り急ぎ,急速
取り入る,讨好
取り入れる,收进
取り柄,长处
取り返す,找回
取り替えす,交换
取り掛かる,开始
取り組む,以……为对手
取り消す,取消
虜，擒，俘，囚，俘虜,俘虏
取り込む,拿进来
取沙汰,谈论
取り捌く,处理
取り締まる,掌管
取り澄ます,装摸做样
取り立てる,征收
取り付く,缠着
取り次ぐ,传达
取り繕う,缝补
取り付ける,安装
取り直す,改变拿法
取り成す，執り成す,说和
取り除く,拆除
鳥肌,鸡皮疙瘩
取り引き,贸易
取り巻く,围绕
取り乱す,弄乱
取り持つ,斡旋
塗料,涂料
度量,长度与容积
努力,努力
採る,采取
撮る,摄影
執る,处理
取る,拿
捕る,抓住
何れ,哪个
どれ,喂
奴隷,奴隶
どれどれ,“どれ”的强调说法
何れ程,多么
獲れる,捕
撮れる,照相
取れる,脱落
泥,泥
泥臭い,土腥气
蕩ける,溶化
泥縄,临渴掘井
泥沼,泥潭
泥棒,小偷
問わず,不论
度忘れ,一时想不起来
丼,大海碗
鈍化,变钝
豚カツ,炸猪排
鈍感,迟钝
頓狂，頓興,突然狂叫
団栗,橡树
鈍行,慢车
頓着,介意
どん底,底层
とんだ,意外的
頓知，頓智,机智
どんちゃん騒ぎ,喝酒喧闹
頓珍漢,前后不符
とんでもない,意外
どんどん,咚咚声
どんな,什么样的
蜻蛉,蜻蜓
問屋,批发商
貪欲,贪得无厌
無い，亡い,无
ない,不
内因,内因
内科,内科
内外,内外
内閣,内阁
蔑ろ,轻视
内勤,内勤
内向,内向
内在,内在
内緒,秘密
内職,副业
内心,内心
内装,内部装饰
内臓,内脏
内蔵,内部装有
内地,国内
内定,内定
内部,内部
内分泌,内分泌
内面,里面
内容,内容
内陸,内陆
綯う,搓
苗,苗
萎える,没精神
尚，猶,尚
尚且つ,更
治す，直す,修改
直る，治る,改正
中,内部
仲,关系
長雨,淫雨
長生き,长寿
流し,冲
流す,使液体流动
長袖,长袖
長続き,持久
中でも,其中
中中,非常
長年，永年,多年
半ば,一半
長引く,拖延
仲間,伙伴
中身,装在容器里的东西
眺める,眺望
長持ち,经久耐用
中休み,中间休息
仲良し,友好
ながら,虽然
莫れ，勿れ,不要
流れ,流
流れる,流
就中,特别
泣き声,哭声
鳴き声,啼声
渚,水滨
泣き面,哭脸
泣きべそ,撇嘴要哭的样子
泣き虫,爱哭的人
泣く,啼哭
鳴く,鸣叫
慰み,消遣
慰める,宽慰
無くす,消除
亡くす,丧
無くなる,完
亡くなる,死
殴る,殴打
投げ掛ける,披上
嘆く,悲伤
投げ出す,扔
なけなし,仅有一点点
投げ遣り,扔下
投げる,投
仲人,媒人
和む,平静
和やか,和谐
余波,留在海滨的海水
名残,残余
名残惜しい,惜别
情け,人情
情けない,可怜
名指し,指名
為さる,的尊敬语
無し,无
梨,梨树
馴染む,适应
生す,生
成す，為す,做
茄子,茄子
擦り付ける,涂上
擦る,涂上
何故,为什么
謎,谜语
なぞる,描
名高い,闻名的
菜種,油菜籽
宥める,劝
なだらか,平缓
雪崩,雪崩
夏,夏天
捺印,盖章
懐かしい,怀念
懐く,亲近
名付ける,命名
納豆,经发酵后制成的大豆食品
納得,同意
夏場,夏季
撫でる,抚摸
等,等等
名無し,无名
斜め,斜
何,什么
何気ない,若无其事
何しろ,不管怎样
何者,谁
何物,什么
何やら,什么
何より,比什么都
名乗る,自报姓名
靡く,随着飘动
名札,姓名牌
嬲る,嘲弄
鍋,锅
生,生
生,总有些
生意気,傲慢
名前,姓名
生臭い,鱼腥
怠け者,懒汉
怠ける,懒惰
生ごみ,含有水分的垃圾
艶かしい,艳丽
訛る,发讹音
波，浪,波浪
並,普通
並木,行道树
涙,眼泪
波み立つ,起浪
並並,普通
並外れる,不寻常
滑らか,光滑
嘗める，舐める,舔
悩み,烦恼
悩む,不能顺利进行
なら,如果
習い事,要学习的技艺
習う,学习
倣う,模仿
慣らす,使……习惯
馴らす,驯养
均す,平整
鳴らす,鸣响
生らず者,无赖
並びに,以及
並ぶ,排成列
並べる,排列
慣わし,风俗
成金,暴发户
成り立ち,成立的经过
成り立つ,成立
成り行き,趋势
成る，生る,结果实
鳴る,鸣
なるべく,尽可能
成る程,的确
馴れ合う,相好
馴れ馴れしい,亲密
慣れる,习惯
馴れる,驯熟
熟れる,味道出来
縄,绳
縄張り,圈绳定界
難,困难
何,何
南下,南下
軟化,软化
難関,难关
南極,南极
軟禁,软禁
難航,难以航行
軟膏,软膏
難産,事物难产
軟弱,不结实
難色,难色
何だか,总觉得
何だって,不管怎样
何て,多么
何で,为什么
何でも,不管什么
何でもない,算不了什么
何と,怎么
何か,表示不定的事物
何となく,总觉得
難なく,轻而易举地
南方,南方
南北,南北
難民,难民
難問,难题
似合う,合适
兄さん,哥哥
新妻,新婚妻子
煮える,煮熟
匂い，臭い,香气
匂う，臭う,散发气味
匂わせる,散发
苦い,苦
似顔,肖像
逃がす,放跑
苦手,不好对付的人
苦苦しい,很讨厌
苦味,苦味
苦虫,想象中的一种嚼时会发苦的虫子
似通う,相似
にきび,粉刺
賑やか,热闹
握り,握
握る,握
賑わう,热闹
賑わす,使热闹
肉,厚度
憎い，悪い,可憎
難い，悪い,很难
肉食,肉类食品
肉親,亲骨肉
肉体,肉体
憎たらしい,可憎
憎まれっ子,谁都讨厌的孩子
憎む,憎恶
憎らしい,可憎
逃げ足,逃跑
逃げ道,退路
逃げる,逃跑
濁す,弄混
にこにこ,笑眯眯
にこやか,和颜悦色
濁る,混浊
西,西风
虹,彩虹
二次,二次
二次会,宴会完了后再次举行的宴会
錦,锦缎
滲む,洇
二重,双层
にじる,膝行
偽，贋,假冒
二世,二世
偽物，贋物,冒牌货
偽者，贋者,冒充的人
似せる,模仿
煮炊き,做饭
日時,日期和时刻
日常,日常
日没,日落
日夜,每天
日用,日用
似つかわしい,合适
日記,日记
日給,日薪
荷作り,包装
日光,日光
日射病,中暑
日章旗,太阳旗
日数,日数
日中,白天
日程,日程
担う，荷う,担
二の句,第二句话
鈍い,钝的
荷札,货签
鈍る,变钝
日本,日本
二枚目,小生
荷物,货物
にやにや,独笑貌
入院,入院
乳液,乳液
入荷,进货
入学,入学
入国,入国
入札,投标
入試,入学考试的略语
入社,进入公司
入場,入场
乳製品,乳制品
入籍,户籍登记
入選,入选
入門,成为弟子
入浴,入浴
入力,输入
女房,古代宫中女官
如実,如实
韮,韭菜
睨む,瞪
似る,象
煮る,煮
庭,庭院
俄,突然
俄雨,骤雨
鶏,鸡
任意,任意
認可,许可
人気,人望
任期,任期
人形,偶人
人間,人类
認識,认识
忍者,隐秘行动的刺探敌情的人
忍従,隐忍服从
人称,人称
人情,人情
妊娠,怀孕
人参,胡萝卜
人数,人数
任ずる,自命
忍耐,忍耐
任地,工作地点
認知,认知
認定,认定
大蒜,大蒜
人夫,小工
妊婦,孕妇
任務,任务
任命,任命
任免,任免
任用,任用
縫いぐるみ,扮演动物的兽形罩衣
縫い物,针线活
縫う,缝
糠,糠
抜かす，吐かす,失去力气或劲头
抜き,去掉
抜き出す,拔出
抜き取る,拔出
抜きん出る,出类拔萃
抜く,拔出
脱ぐ,脱掉
拭う,擦掉
温もり,温和
抜け殻,蜕下的皮或壳
抜け出す,溜
抜け出る,逃出
抜け目,漏洞
抜ける,脱落
脱げる,脱落下来
主,主人
盗む,偷盗
布,布
布目,布纹
沼,池沼
滑滑,光滑
濡らす,润湿
塗り物,漆器
塗る,涂
温い,半冷不热
ぬるぬる,滑溜
濡れ衣,冤枉
濡れ手,湿手
濡れる,湿
値上げ,加价
音色,音色
値打ち,价值
姉さん,大姐
願い,愿望
願い出る,提出申请
願う,期望
寝返り,翻身
寝かす,使……睡觉
葱,大葱
労う,慰劳
値切る,还价
寝癖,头发睡乱
猫,猫
猫舌,不能吃热食的人
根こそぎ,根除
寝言,梦话
値頃,价钱合适
寝転ぶ,横卧
値下げ,减价
根差す,生根
螺子,螺钉
拗ける,弯弯曲曲
捻じ込む,拧进
捻じ曲げる,扭曲
捻る，捩る,扭
捻じれる，捩じれる,扭歪
鼠,老鼠
ねた,素材
寝たきり,卧床不起
妬ましい,嫉妒
妬む，嫉む,嫉妒
強請る,撒娇
値段,价格
熱,热
熱意,热忱
熱気,热空气
熱狂,狂热
根付く,扎根
熱血,热血
根っ子,根
熱心,热心
熱する,变热
捏造,捏造
熱帯,热带
熱中,热衷于
熱っぽい,发烧的
根強い,坚固的
熱烈,热烈的
寝床,卧室
根無し,无根
粘つく,发粘
粘り強い,粘性强
粘る,粘
涅槃,涅磐
値引き,减价
根深い,根深
値札,标价牌
寝坊,睡懒觉的
寝惚ける,睡意朦胧
根回し,事先做好有关方面的工作
寝耳,睡觉时的耳朵
眠い,想睡的
眠気,困倦
眠る,睡
根元,植物的根
狙いどころ,着眼点
狙う,瞄准
練り歯磨き,牙膏
寝る,躺下
練る，煉る,列队游行
練れる,熬炼好
念,想法
年,年
念入り,精心
年賀,贺年
年がら年中,一年到头
年間,年间
念願,愿望
年忌,每年的忌辰
年季,奉公
年貢,岁贡
年功,资历
懇ろ,亲切
年始,年初
年中,一年间
捻出,冥思苦想出
年少,年轻的
燃焼,燃烧
念ずる,祈祷
年代,年代
粘着,粘着
年長,年长
粘土,粘土
念頭,念头
年配,大致的年龄
念仏,念佛
年俸,年俸
年末,年末
燃料,燃料
年輪,历史过程
年齢,年龄
能,能力
農,农业
脳,脑
農家,农家
能楽,能乐
納棺,入棺
農閑期,农闲期
納期,交货期限
農業,农业
濃厚,浓厚的
農耕,农耕
農場,农场
納税,纳税
農村,农村
農地,农地
濃度,浓度
能無し,无能
能筆,擅长书法
納品,交货
納付,向乡政府机关等缴纳款项
能弁,能言善辩
脳味噌,脑
農民,农民
脳裏,脑海里
能率,效率
納涼,乘凉
能力,才能
農林,农林业
逃す,错过
逃れる,逃脱
軒,屋檐
軒並み,房檐栉比
除け者,被疏远的人
退ける,移开
除ける,排除
鋸,锯子
残す,剩下
残らず,全部
残る,留下
のさばる,任意妄为
伸し上がる,爬上
伸し掛かる,压在……上
伸す,发展
載せる,放在……上
乗せる,使……乘坐
覗かせる,露出事物的一部分
除く,除去
覗く,露处一部分
望ましい,符合心愿
望む,远望
臨む,面对
後,……之后
後後,今后
乗っ取る,夺取
則る,遵守
のっぽ,高个
喉,喉咙
のどやか,悠然的
罵る,骂
伸ばす,伸展
延ばす,延长日期
野放し,放养
野原,原野
伸び縮み,伸缩
伸び悩む,停滞不前
伸び伸び,舒展
延び延び,延期
伸びる,变长
延びる,延长
延べ,总计
伸べる,伸出
延べる,铺开
述べる,叙述
上せる,提出
逆上せる,头晕
上り,朝上移动
上る,向上移动
登る,登
昇る,升腾
呑まれる,被拉入
蚤,跳蚤
飲み込む，呑み込む,吞下
飲み干す,喝光
飲み水,饮用水
飲み物,饮料
飲む，呑む,喝
のめり込む,向前倒
野良,原野
野良犬,野狗
海苔,紫菜
糊,浆糊
乗り換える,换乘
乗り掛かる,正要赶上
乗り気,感兴趣
のりくむ,同乘一条船
のりこえる,越过
乗り越す,坐过站
乗り込む,乘坐
乗り出す,乘车外出
乗り場,乘的地点
乗物,交通工具
乗る,乘
載る,放在上面
暖簾,写有商号名称
鈍い,迟缓的
呪う，詛う,诅咒
惚ける,津津乐道自己的风流韵事
のろのろ,缓慢
呪わしい,可憎的
呑気,悠闲的
飲んだくれ,酒鬼
のんびり,悠然自得
葉叶,树
場合,场合
把握,把握
敗,败
肺,肺
灰,灰
這い上がる,爬上
廃案,废案
灰色,灰色
敗因,失败的原因
廃液,废液
配下,部下
拝賀,拜贺
俳諧,有滑稽趣味的和歌
徘徊,徘徊
媒介,媒介
廃刊,停刊
排気,排气
廃棄,废弃
配給,配给
ばい菌,细菌
俳句,俳句
